page_id,session_id,source_file,page,eligible_pages_in_sitting,opening_words
1998-07-23_r01_p7,1998-07-23_r01,1998-07-23_r01_REUNION_CONJ_AMBAS_CAMARAS.pdf,7,10,7 23 de julio de 1998 Reunión conjunta de Senadores y Diputados la adversidad. Es por ello
1998-09-30_r50_p3,1998-09-30_r50,1998-09-30_r50_EN_MINORIA.pdf,3,2,"3 30 de septiembre de 1998 Versión provisional - sesión ordinaria -En Buenos Aires, a las "
1999-05-05_r15_p15,1999-05-05_r15,1999-05-05_r15_ORDINARIA.pdf,15,83,05 de mayo de 1999 Sesión Ordinaria 15 Sr. SECRETARIO (Oyarzún).- (Lee:) Incorporar dictam
1999-05-19_r20_p3,1999-05-19_r20,1999-05-19_r20_EN_MINORIA.pdf,3,4,"19 de mayo de 1999 Sesión en minoría 3 -En Buenos Aires, a las 17 y 37 del miércoles 19 de"
2000-02-23_r01_p7,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,7,6,2 3 de febrero de 2000 Versión provisional - sesión preparatoria 7 -Puestos de pie los señ
2000-10-03_r54_p1,2000-10-03_r54,2000-10-03_r54_ESPECIAL.pdf,1,4,H. SENADO DE LA NACIÓN VERSIÓN TAQUIGRÁFICA 54° Reunión – Sesión especial en minoría - 3 d
2001-10-31_r68_p1,2001-10-31_r68,2001-10-31_r68_EN_MINORIA.pdf,1,1,REPÚBLICA ARGENTINA VERSIÓN TAQUIGRÁFICA CÁMARA DE SENADORES DE LA NACIÓN 68° Reunión - Se
2001-11-14_r71_p5,2001-11-14_r71,2001-11-14_r71_ORDINARIA.pdf,5,37,14 de noviembre de 2001 Sesión ordinaria pág. 5 Sr. Presidente (Menem). — Corresponde cons
2002-08-08_r18_p1,2002-08-08_r18,2002-08-08_r18_EN_MINORIA.pdf,1,1,REPÚBLICA ARGENTINA VERSIÓN TAQUIGRÁFICA CÁMARA DE SENADORES DE LA NACIÓN 18 Reunión - Se
2002-08-22_r20_p5,2002-08-22_r20,2002-08-22_r20_EN_MINORIA.pdf,5,4,2 2 de agosto de 2002 Versión provisional - sesión en minoría á 5 — Se encuentran pres
2003-05-28_r09_p28,2003-05-28_r09,2003-05-28_r09_ORDINARIA.pdf,28,89,28 de mayo de 2003 Sesión ordinaria Pág 28 — La votación resulta afirmativa. — En particul
