stretch_id,source_file,begin,end,opening_words,closing_words
1998-05-13_r15,1998-05-13_r15_ORDINARIA.html,207888,214932,32 Docentes para la Direcci ó n nacional de teatro [ Volver,a N 1 264) Por Secretar í a se dar á lectura.
1998-11-18_r58,1998-11-18_r58_ORDINARIA.html,72666,79929,Sr. PRESIDENTE.- Queda aprobada la resolución. Se procederá en consecuencia. 10 Tercer,"del Reglamento. Por lo tanto, la Cámara está absolutamente autorizada para aprobarlos."
1998-08-05_r31,1998-08-05_r31_ORDINARIA.html,115173,122632,Con la presencia del señor jefe de Gabinete de Ministros se va,"Agricultura, 30 millones a Desarrollo Social y 20 millones al Plan Arraigo."
1998-06-03_r22,1998-06-03_r22_ORDINARIA.html,178952,186172,Y en el párrafo siguiente... Sr. PRESIDENTE.- ¿Usted se refiere al artículo,sean interpretadas con referencia a cada uno de los artículos que mencioné.
1999-03-01_r00,1999-03-01_r00_ASAMBLEA.html,62667,70139,"Tenemos la infraestructura, dimos un salto de calidad, en nuestras manos tenemos",la Argentina hacia su destino de felicidad y grandeza. ( Aplausos. )
1999-06-30_r30,1999-06-30_r30_ORDINARIA.html,83578,91283,"Este es el proceso hasta que, hacia fines del siglo XIX, comienza",consideración la protección de todas las áreas referidas a los no videntes.
1999-08-25_r43,1999-08-25_r43_ORDINARIA.html,282508,289563,Sr. GIOJA.- Señor presidente: si bien represento a una provincia que no,"hay asentimiento, por Secretaría se lo invitará a ingresar en el recinto."
1999-09-15_r45,1999-09-15_r45_ORDINARIA.html,213818,220884,-El texto de la inserción solicitada es el siguiente: Señor presidente: sólo,plazo de transición que operará el 1° de enero del año 2.000.-
2000-06-07_r24,2000-06-07_r24_ESPECIAL.html,129533,136801,"Por otra parte, el senador también se refería al caso de los",muy atendibles de quien es confrontado a un informe de esta naturaleza.
2000-06-07_r22,2000-06-07_r22_ORDINARIA.html,231456,238489,Sr. Yoma. -- Señor presidente: quisiera escuchar alguna fundamentación de algún senador,la guitarra. Sr. Presidente. -- Se va a votar el artículo 6.
2000-04-05_r11,2000-04-05_r11_ORDINARIA.html,211657,218760,"Pero es muy importante destacar esto, porque en realidad son fondos provinciales.",simple y muy concreta. Sr. Presidente. -- Formúlela si es tan simple.
2000-10-11_r57,2000-10-11_r57_ORDINARIA.html,100880,108061,"Y le digo a Mario Losada que realmente siento una alegría sincera,",queda designado como presidente provisional del Honorable Senado el señor senador Losada.
2001-08-15_r54,2001-08-15_r54_ORDINARIA.html,82842,90083,Sr. Ulloa . -- Señor presidente: en realidad este tema me toca,perfectamente delimitado y agregado a los mapas como parte del territorio nacional.
2001-05-09_r32,2001-05-09_r32_ESPECIAL.html,177495,184816,Quiero aprovechar su presencia en este recinto para transmitirle una preocupación y,tanto que ha olvidado que los funcionarios son servidores de la ciudadanía.
2001-12-19_r77,2001-12-19_r77_EXTRAORDINARIA.html,163901,171266,Sr. Presidente (Maqueda) . -- Señora senadora discúlpeme. El senador Passo le,"posible, porque se adaptó a los tiempos, porque la Constitución es dinámica."
2001-03-23_r12,2001-03-23_r12_ORDINARIA.html,97847,105080,"Y agregó el Sumo Pontífice: ""Esto significa que las leyes, sean cuales",pelea central de la Alianza; es decir que lo importante sigue inmovilizado.
2002-03-14_r03,2002-03-14_r03_ORDINARIA.html,208459,215509,Sra. Avelín. -- El Orden del Día no incluye el texto del,general. -- La votación resulta afirmativa. -- En particular es igualmente afirmativa.
2002-08-01_r17,2002-08-01_r17_ORDINARIA.html,185276,192498,"Si no se hace uso de la palabra, se va a votar",en consecuencia. [ Volver al sumario ] 75 Sistema Federal de Vivienda
2002-02-21_r83,2002-02-21_r83_ORDINARIA.html,213734,221509,"Creo que habría que aprovechar este diálogo, por ejemplo, para tomar impulso",es indispensable que terminemos con estos ataques de vándalos contra la política.
2002-03-05_r02,2002-03-05_r02_ESPECIAL.html,262192,269314,Más allá de las urgencias del Poder Ejecutivo de contar con esta,éste significa la falta de financiamiento externo e interno para nuestro país.
2003-05-07_r07,2003-05-07_r07_ESPECIAL.html,76779,83861,Alberdi y buena parte de la dirigencia política creían y exaltaban el,"moral del individuo, y el derecho al libre desarrollo de su personalidad."
2003-05-07_r08,2003-05-07_r08_ORDINARIA.html,116903,124069,"Por lo tanto, creemos que esta modificación en la fijación del plazo",programa sea posible. Sr. Presidente (Gioja). -- ¿Cómo quedaría redactado el artículo?
2003-10-29_r28,2003-10-29_r28_TRIBUNAL_DE_JUICIO_POLITICO.html,24005,31889,2. Prueba testimonial. Tomar declaración testimonial a las siguientes personas: 2.1 Dr.,322:3289); y d) copia certificada del Reglamento para la Justicia Nacional. “
2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,242619,249688,Orden del Día Nº 1653 Sr. Presidente (Gioja) . -- En consideración,"de la palabra, se va a votar. -- La votación resulta afirmativa."
