category,role,full_name,period_start,period_end,label_surname,label_variants_observed,evidence_notes,source_url
senate_authority,presidencia (vicepresidenta de la Nacion),Cristina Elisabet Fernández de Kirchner,2019-12-10,2023-12-10,Fernández de Kirchner,Fernández Kirchner,Chairs as 'Sra. Presidenta (Fernández de Kirchner)' 2020-02-20..2023-12-10 in held VTs; assumed VP office 2019-12-10 (stated in VT 24-02-2021 p6: 'Esta administración asumió el 10 de diciembre de 2019').,https://www.senado.gov.ar/parlamentario/sesiones/24-02-2021/01/downloadTac
senate_authority,presidencia (vicepresidenta de la Nacion),Victoria Eugenia Villarruel,2023-12-10,,Villarruel,Villarreal (typo);Villarroel (typo 2025-05-07),Sworn in at Asamblea 10-12-2023; chairs as 'Sra. Presidente (Villarruel)' from 2023-12-10; in office beyond 2024.,https://www.senado.gov.ar/parlamentario/sesiones/10-12-2023/00/downloadTac
senate_authority,presidencia provisional,Claudia Ledesma Abdala de Zamora,2019-12-10,2023-12-13,Ledesma Abdala,Ledezma Abdala; Ledesma Abala; Abdala Ledesma; Abdala de Zamora; Ledesma de Abdala,"Elected Dec 2019; ratified in preparatorias 20-02-2020, 24-02-2021, 24-02-2022, 23-02-2023. Successor designated 2023-12-13. Also senator (Santiago del Estero, 2019-12-10..2025-12-09).",https://www.senado.gov.ar/parlamentario/sesiones/20-02-2020/01/downloadTac
senate_authority,presidencia provisional,Bartolomé Esteban Abdala,2023-12-13,,Abdala,,"Designated 13-12-2023 ('Queda designado como presidente provisional a partir del día de la fecha'); ratified 23-02-2024. Also senator (San Luis, from 2023-12-10). Same-surname hazard with Ledesma Abdala: labels differ.",https://www.senado.gov.ar/parlamentario/sesiones/13-12-2023/08/downloadTac
senate_authority,vicepresidencia,Martín Lousteau,2019-12-10,2022-02-24,Lousteau,,Ratified 20-02-2020 and 24-02-2021; replaced by Losada (eleccion) 24-02-2022. Chairs as 'Sr. Presidente (Lousteau)' 2020-07-23..2021-10-06.,https://www.senado.gov.ar/parlamentario/sesiones/20-02-2020/01/downloadTac
senate_authority,vicepresidencia,Carolina Losada,2022-02-24,2023-12-13,Losada,,Elected and sworn 24-02-2022; resigned 13-12-2023 (immediately designated vicepresidenta 1a). Chairs as 'Sra. Presidenta (Losada)'.,https://www.senado.gov.ar/parlamentario/sesiones/24-02-2022/01/downloadTac
senate_authority,vicepresidencia,Silvia Estela Sapag,2024-02-23,,Sapag,,Designated and sworn 23-02-2024 (office vacant 2023-12-13..2024-02-23). Chairs as 'Sra. Presidente (Sapag)' 2024.,https://www.senado.gov.ar/parlamentario/sesiones/23-02-2024/01/downloadTac
senate_authority,vicepresidencia 1a,Maurice Fabián Closs,2019-12-10,2023-12-13,Closs,,Ratified 2020-2023 preparatorias; successor designated 13-12-2023. Frequent chair: 'Sr. Presidente (Closs)' 2020-02-05..2023-09-28.,https://www.senado.gov.ar/parlamentario/sesiones/20-02-2020/01/downloadTac
senate_authority,vicepresidencia 1a,Carolina Losada,2023-12-13,,Losada,,Designated and sworn 13-12-2023; ratified 23-02-2024.,https://www.senado.gov.ar/parlamentario/sesiones/13-12-2023/08/downloadTac
senate_authority,vicepresidencia 2a,Laura Elena Rodríguez Machado,2019-12-10,2021-12-09,Rodríguez Machado,,"Ratified 20-02-2020, 24-02-2021; senator mandate (Córdoba) ended 2021-12-09. Chairs as 'Sra. Presidenta (Rodríguez Machado)' 2020-06-18..2021-10-28.",https://www.senado.gov.ar/parlamentario/sesiones/20-02-2020/01/downloadTac
