session_date,file,office,person,basis
1997-12-18,1997-12-18_r117_TRIBUNAL_DE_JUICIO_POLITICO,NONE,,
1998-02-25,1998-02-25_r01_PREPARATORIA,prosecretario,Donaldo A. Dib,masthead
1998-02-25,1998-02-25_r01_PREPARATORIA,prosecretario,Mario Pontaquarto,masthead
1998-02-25,1998-02-25_r01_PREPARATORIA,prosecretario,Rodolfo N. Aden,masthead
1998-02-25,1998-02-25_r01_PREPARATORIA,secretario,Eduardo Piuzzi,masthead
1998-02-25,1998-02-25_r01_PREPARATORIA,secretario,Matilde del Valle Guerrero,masthead
1998-03-01,1998-03-01_r00_ASAMBLEA,secretario,Edgardo R. Piuzzi,masthead
1998-03-01,1998-03-01_r00_ASAMBLEA,secretario,Esther H. Pereyra Arandía de Pérez Pardo,masthead
1998-03-04,1998-03-04_r02_ORDINARIA,presidente provisional,Eduardo Menem,masthead
1998-03-04,1998-03-04_r02_ORDINARIA,prosecretario,Alfredo A. Luques,masthead
1998-03-04,1998-03-04_r02_ORDINARIA,prosecretario,Berta Aldalur,masthead
1998-03-04,1998-03-04_r02_ORDINARIA,prosecretario,Mario L. Pontaquarto,masthead
1998-03-04,1998-03-04_r02_ORDINARIA,secretario,Edgardo R. Piuzzi,masthead
1998-03-04,1998-03-04_r02_ORDINARIA,secretario,Matilde del Valle Guerrero,masthead
1998-03-04,1998-03-04_r02_ORDINARIA,vicepresidente de la nacion,Carlos F. Ruckauf,masthead
1998-03-11,1998-03-11_r03_ORDINARIA,prosecretario,Alfredo A. Luques,masthead
1998-03-11,1998-03-11_r03_ORDINARIA,prosecretario,Berta Aldalur,masthead
1998-03-11,1998-03-11_r03_ORDINARIA,prosecretario,Mario Pontaquarto,masthead
1998-03-11,1998-03-11_r03_ORDINARIA,secretario,Edgardo R. Piuzzi,masthead
1998-03-11,1998-03-11_r03_ORDINARIA,secretario,Matilde del Valle Guerrero,masthead
1998-03-11,1998-03-11_r03_ORDINARIA,vicepresidente de la nacion,Carlos F. Ruckauf,masthead
1998-03-18,1998-03-18_r04_ORDINARIA,prosecretario,Alfredo A. Luques,masthead
1998-03-18,1998-03-18_r04_ORDINARIA,prosecretario,Berta Aldalur,masthead
1998-03-18,1998-03-18_r04_ORDINARIA,prosecretario,Mario L. Pontaquarto,masthead
1998-03-18,1998-03-18_r04_ORDINARIA,secretario,Edgardo R. Piuzzi,masthead
1998-03-18,1998-03-18_r04_ORDINARIA,secretario,Matilde del Valle Guerrero,masthead
1998-03-18,1998-03-18_r04_ORDINARIA,vicepresidente de la nacion,Carlos F. Ruckauf,masthead
1998-03-25,1998-03-25_r05_ORDINARIA,prosecretario,Alfredo A. Luques,masthead
1998-03-25,1998-03-25_r05_ORDINARIA,prosecretario,Berta Aldalur,masthead
1998-03-25,1998-03-25_r05_ORDINARIA,prosecretario,Mario Pontaquarto,masthead
1998-03-25,1998-03-25_r05_ORDINARIA,secretario,Edgardo R. Piuzzi,masthead
1998-03-25,1998-03-25_r05_ORDINARIA,secretario,Matilde del Valle Guerrero,masthead
1998-03-25,1998-03-25_r05_ORDINARIA,vicepresidente de la nacion,Carlos F. Ruckauf,masthead
1998-04-01,1998-04-01_r06_ORDINARIA,prosecretario,Alfredo A. Luques,masthead
1998-04-01,1998-04-01_r08_ESPECIAL,prosecretario,Alfredo A. Luques,masthead
1998-04-01,1998-04-01_r06_ORDINARIA,prosecretario,Berta Aldalur,masthead
1998-04-01,1998-04-01_r08_ESPECIAL,prosecretario,Berta Aldalur,masthead
1998-04-01,1998-04-01_r06_ORDINARIA,prosecretario,Mario L. Pontaquarto,masthead
1998-04-01,1998-04-01_r08_ESPECIAL,prosecretario,Mario L. Pontaquarto,masthead
1998-04-01,1998-04-01_r08_ESPECIAL,secretario,Edgardo R. Piuzzi,masthead
1998-04-01,1998-04-01_r06_ORDINARIA,secretario,Matilde del Valle Guerrero,masthead
1998-04-01,1998-04-01_r08_ESPECIAL,secretario,Matilde del Valle Guerrero,masthead
1998-04-01,1998-04-01_r06_ORDINARIA,vicepresidente 1°,Antonio Cafiero,masthead
1998-04-15,1998-04-15_r09_ORDINARIA,prosecretario,Alfredo A. Luques,masthead
1998-04-15,1998-04-15_r09_ORDINARIA,prosecretario,Berta Aldalur,masthead
1998-04-15,1998-04-15_r09_ORDINARIA,prosecretario,Mario L. Pontaquarto,masthead
1998-04-15,1998-04-15_r09_ORDINARIA,prosecretario,Taha Ahmad,masthead
1998-04-15,1998-04-15_r09_ORDINARIA,secretario,Edgardo R. Piuzzi,masthead
1998-04-15,1998-04-15_r09_ORDINARIA,secretario,Matilde del Valle Guerrero,masthead
1998-04-22,1998-04-22_r11_ORDINARIA,presidente provisional,Eduardo Menem,masthead
1998-04-22,1998-04-22_r11_ORDINARIA,prosecretario,Alfredo A. Luques,masthead
1998-04-22,1998-04-22_r11_ORDINARIA,prosecretario,Berta Aldalur,masthead
1998-04-22,1998-04-22_r11_ORDINARIA,prosecretario,Mario L. Pontaquarto,masthead
1998-04-22,1998-04-22_r11_ORDINARIA,prosecretario,Taha Ahmad,masthead
1998-04-22,1998-04-22_r11_ORDINARIA,secretario,Edgardo R. Piuzzi,masthead
1998-04-22,1998-04-22_r11_ORDINARIA,secretario,Matilde del Valle Guerrero,masthead
1998-04-22,1998-04-22_r11_ORDINARIA,vicepresidente,Antonio F. Cafiero,masthead
1998-04-22,1998-04-22_r11_ORDINARIA,vicepresidente de la nacion,Carlos F. Ruckauf,masthead
1998-04-29,1998-04-29_r12_ORDINARIA,prosecretario,Alfredo A. Luques,masthead
1998-04-29,1998-04-29_r12_ORDINARIA,prosecretario,Berta Aldalur,masthead
1998-04-29,1998-04-29_r12_ORDINARIA,prosecretario,Mario L. Pontaquarto,masthead
1998-04-29,1998-04-29_r12_ORDINARIA,prosecretario,Taha Ahmad,masthead
1998-04-29,1998-04-29_r12_ORDINARIA,secretario,Edgardo R. Piuzzi,masthead
1998-04-29,1998-04-29_r12_ORDINARIA,secretario,Matilde del Valle Guerrero,masthead
