bloc,period_start,period_end,confidence,basis,evidence_notes,source_sitting,predecessor,predecessor_notes
UCR - UNIÓN CÍVICA RADICAL,,,high,standing bloc,"Present in all 320 roll-call dates 2005-2024 and named continuously in debate. Open at both ends: it predates the corpus and continues past it, so no clipping is applied.",,,
JUSTICIALISTA,,,medium,standing bloc,"Present across 2005-2024 in roll-call records. Left open deliberately: the name is generic and has covered successive distinct blocs (including the pre-2005 chamber), so a single span would assert more than the evidence carries.",,,
PJ FRENTE PARA LA VICTORIA,2005-12-10,2019-12-09,high,transcript + mandate calendar,"Attested as a Senate bloc on 21-22 Dec 2005: 'el bloque de senadores del partido justicialista frente para la victoria'. Start set to the 10 Dec 2005 turnover that the bloc was formed at. The 15 June 2005 mention is a minister described as representing the political front, not the bloc. Last named 27 Nov 2019; superseded by Frente de Todos from 10 Dec 2019.",2005-12-21; 2019-11-27,,
FRENTE PARA LA VICTORIA - PJ,2013-12-10,2019-12-09,medium,mandate calendar,"Roll-call variant of the same bloc for the 2013-2019 mandates (Fuentes, García Larraburu, Pilatti Vergara; Fernández de Kirchner from 2017). Treated as a naming variant, not a separate bloc — the transcripts never distinguish the two.",,,
FRENTE DE TODOS,2019-12-10,2022-05-12,high,transcript,"Named in the preparatory sitting of 27 Nov 2019 proposing authorities for the term opening 10 Dec 2019: 'en nombre del bloque del frente de todos queremos proponer a claudia ledesma abdala'. Ends when it splits: on 12 May 2022 the floor speaks of 'dividiendo el bloque del frente de todos' and of 'el nuevo bloque unidad ciudadana'. The NAME survives after that as the interbloc holding both halves, which is why it keeps appearing to 2024 — the interbloc is not this bloc. The 2010 and 2011 mentions are the Chamber of Deputies bloc of the same name.",2019-11-27; 2022-05-12,,
FRENTE NACIONAL Y POPULAR,2022-11-16,,medium,transcript,"First named 16 Nov 2022, in the sitting where the chamber enumerates its own composition: 'el frente nacional y popular ... que tiene 21 integrantes'. The larger half of the split bloc was still being called Frente de Todos on 27 Oct 2022, so the rename falls between those dates and the start is the first attested day, not the true one. Open at the end.",2022-11-16,FRENTE DE TODOS,"The other half of the same split: still called Frente de Todos on 27 Oct 2022, renamed by 16 Nov 2022."
UNIDAD CIUDADANA,2017-12-10,2019-12-09,high,transcript + mandate calendar,"First spell: the bloc formed for the term opening 10 Dec 2017; named in debate 29 Nov 2017, 10 Oct 2018 and 20 Mar 2019. Absorbed into Frente de Todos from 10 Dec 2019.",2017-11-29; 2019-03-20,,
UNIDAD CIUDADANA,2022-05-12,,high,transcript,"Second spell: called 'el nuevo bloque unidad ciudadana' on 12 May 2022, the same sitting that describes the Frente de Todos bloc being divided. Confirmed 16 Nov 2022: 'unidad ciudadana que preside la senadora di tullio con 14 integrantes'. Open at the end.",2022-05-12; 2022-11-16,FRENTE DE TODOS,"The 12 May 2022 sitting describes this bloc as splitting off from the Frente de Todos bloc ('dividiendo el bloque del frente de todos'), so its members sat there before, back to the start of the mandate."
FRENTE PRO,2013-12-10,,high,transcript + mandate calendar,First roll-call reading 18 Dec 2013 and first Senate mention 28 Feb 2014; De Angeli's mandate opens 10 Dec 2013. The 1 Mar 2013 mention is the Chamber of Deputies bloc. Open at the end.,2014-02-28,,
JUSTICIALISTA SAN LUIS,2005-12-10,2017-12-09,medium,mandate calendar,"Rodríguez Saá and Negre de Alonso; roll-call readings 21 Dec 2005 to 29 Nov 2017, spanning their 2005-2011 and 2011-2017 mandates. No transcript attestation: every phrasing that would name it also matches ordinary references to the province.",,,
JUSTICIALISTA 8 DE OCTUBRE,2007-12-10,2019-12-09,medium,mandate calendar,"Romero and Escudero; roll-call readings 12 Dec 2007 to 13 Nov 2019, opening at their 10 Dec 2007 mandate. Not separable in the transcripts, where '8 de octubre' matches the ordinary date.",,,
PARTIDO SOCIALISTA,,2015-12-09,medium,mandate calendar,"Giustiniani, single member, across his 2003-2009 and 2009-2015 mandates; roll-call readings run to 25 Nov 2015. Start left open because the bloc predates the roll-call records.",,,
PERONISMO REPUBLICANO RIO NEGRO,2019-06-01,2019-12-09,medium,external chronology + roll-call end,"THE CLEAREST CASE OF THE BACKWARD-PROJECTION FLAW. Pichetto's whole 2013-2019 mandate is filed under this label, but he led the Frente para la Victoria bloc for almost all of it and founded Peronismo Republicano only in 2019, on leaving to stand for vice-president. The transcripts name it only in 2020, after he had left the chamber. Start is approximate — it is the year, not the day, that the evidence supports.",,PJ FRENTE PARA LA VICTORIA,Pichetto presided the Frente para la Victoria bloc through this mandate and is named as its president throughout the transcripts; he founded Peronismo Republicano only on leaving in 2019.
FRENTE CÍVICO Y SOCIAL DE CATAMARCA,,2021-12-09,medium,mandate calendar,"Castillo, Colombo de Acevedo, Monllau; roll-call readings from the first 2005 sitting to 9 Dec 2021, the end of Castillo's second mandate. Start left open because it predates the roll-call records.",,,
FRENTE CIVICO DE LA PROVINCIA DE CORDOBA,2009-12-10,2015-12-09,high,mandate calendar,"Juez and Morandini, whose mandates run 10 Dec 2009 to 9 Dec 2015; roll-call readings sit exactly inside that window.",,,
ALIANZA COALICIÓN CÍVICA,2007-12-10,2013-12-09,high,transcript + mandate calendar,"Estenssoro, single member, mandate 10 Dec 2007 to 9 Dec 2013; roll-call readings match, and the transcripts name it in 86 sittings running from 12 Dec 2007.",2007-12-12,,
PROYECTO BUENOS AIRES FEDERAL,2007-12-10,2013-12-09,high,mandate calendar,"Cabanchik, single member, mandate 10 Dec 2007 to 9 Dec 2013; roll-call readings match exactly. Named once in debate, 3 Jul 2013.",2013-07-03,,
MOVIMIENTO POPULAR NEUQUINO,,2019-12-09,high,mandate calendar,"Long-standing provincial party: Salvatori and Sapag (2001-2007), Lores (2007-2013), Crexell and Pereyra (2013-2019). Start left open because it predates the roll-call records.",,,
PARTIDO JUSTICIALISTA LA PAMPA,2009-12-10,2015-12-09,high,mandate calendar,"Higonet and Verna, mandates 10 Dec 2009 to 9 Dec 2015; roll-call readings sit exactly inside that window.",,,
PARTIDO RENOVADOR DE SALTA,,2013-12-09,high,mandate calendar,Gómez Diez (2001-2007) then Pérez Alsina (2007-2013); the roll-call readings hand over between them at the 2007 turnover. Start left open because it predates the roll-call records.,,,
SIN ESPECIFICAR,,,none,not a caucus,"A placeholder the Senate uses where it holds no caucus for a mandate, not the name of anything. Rows carrying it are dropped rather than dated.",,,
