fecha,person_id,person_name,bloque,fiabilidad,fuente,procedencia,familia
1998-02-02,1,"AGUIRRE LANARI, JUAN RAMON",Liberal,foto_bloque_previo,ficha del senador,https://web.archive.org/web/19980202085620id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/aglanari.html,Provincial & other alliances
1998-02-02,205,"AGUNDEZ, JORGE ALFREDO",UCR - UNIÓN CÍVICA RADICAL,foto,ficha del senador,https://web.archive.org/web/19980202085628id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/agundez.html,Radical / Cambiemos / JxC
1998-02-02,84,"ALASINO, AUGUSTO",JUSTICIALISTA,foto,ficha del senador,https://web.archive.org/web/19980202085636id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/alasino.html,Peronist / Justicialist
1998-02-02,84,"ALASINO, AUGUSTO",JUSTICIALISTA,foto,ficha del senador,https://web.archive.org/web/19980202092254id_/http://www.senado.gov.ar:80/senadores/alasino.html,Peronist / Justicialist
1998-02-02,206,"ALMIRON, CARLOS HUMBERTO",FUERZA REPUBLICANA,foto,ficha del senador,https://web.archive.org/web/19980202085644id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/almiron.html,Provincial & other alliances
1998-02-02,207,"ANGELOZ, EDUARDO CESAR",UCR - UNIÓN CÍVICA RADICAL,foto,ficha del senador,https://web.archive.org/web/19980202085653id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/angeloz.html,Radical / Cambiemos / JxC
1998-02-02,85,"AVELIN, ALFREDO",Cruzada Renovadora De San Juan,foto_bloque_previo,ficha del senador,https://web.archive.org/web/19980202085701id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/avelin.html,Provincial & other alliances
1998-02-02,208,"BAUM, DANIEL",JUSTICIALISTA,foto,ficha del senador,https://web.archive.org/web/19980202085710id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/baum.html,Peronist / Justicialist
1998-02-02,50,"BERHONGARAY, ANTONIO TOMAS",UCR - UNIÓN CÍVICA RADICAL,foto,ficha del senador,https://web.archive.org/web/19980202085718id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/berhong.html,Radical / Cambiemos / JxC
1998-02-02,86,"BRANDA, RICARDO ALBERTO",JUSTICIALISTA,foto,ficha del senador,https://web.archive.org/web/19980202085726id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/branda.html,Peronist / Justicialist
1998-02-02,6,"BRAVO, LEOPOLDO",Bloquista De La Provincia De San Juan,foto_bloque_previo,ficha del senador,https://web.archive.org/web/19980202085734id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/bravo.html,Provincial & other alliances
1998-02-02,87,"CABANA, FERNANDO V.",JUSTICIALISTA,foto,ficha del senador,https://web.archive.org/web/19980202085743id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/cabana.html,Peronist / Justicialist
1998-02-02,88,"CAFIERO, ANTONIO FRANCISCO",JUSTICIALISTA,foto,ficha del senador,https://web.archive.org/web/19980202085751id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/cafiero.html,Peronist / Justicialist
1998-02-02,209,"CANTARERO, EMILIO MARCELO",JUSTICIALISTA,foto,ficha del senador,https://web.archive.org/web/19980202085759id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/cantarer.html,Peronist / Justicialist
1998-02-02,11,"COSTANZO, REMO",JUSTICIALISTA,foto,ficha del senador,https://web.archive.org/web/19980202085807id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/costanzo.html,Peronist / Justicialist
1998-02-02,210,"DE LA ROSA, CARLOS LEONARDO",JUSTICIALISTA,foto,ficha del senador,https://web.archive.org/web/19980202085815id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/delarosa.html,Peronist / Justicialist
1998-02-02,211,"DE LA SOTA, JOSE MANUEL",JUSTICIALISTA,foto,ficha del senador,https://web.archive.org/web/19980202085823id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/delasota.html,Peronist / Justicialist
