fecha,person_id,person_name,bloque,bloque_en_el_documento,lugares,candidatos,electo_por,url
1999-03-01,233,"TELL, ALBERTO MAXIMO",JUSTICIALISTA,JUSTICIALISTA,6,6,JUSTICIALISTA,https://www2.hcdn.gob.ar/export/hcdn/secparl/dgral_info_parlamentaria/dip/archivos/SenadoresporBloqueGenero-_Cantidades.pdf#page=8
1999-03-01,248,"PRUYAS, TOMAS RUBEN",JUSTICIALISTA,JUSTICIALISTA,6,6,JUSTICIALISTA,https://www2.hcdn.gob.ar/export/hcdn/secparl/dgral_info_parlamentaria/dip/archivos/SenadoresporBloqueGenero-_Cantidades.pdf#page=8
1999-03-01,11,"COSTANZO, REMO",JUSTICIALISTA,JUSTICIALISTA,6,6,JUSTICIALISTA,https://www2.hcdn.gob.ar/export/hcdn/secparl/dgral_info_parlamentaria/dip/archivos/SenadoresporBloqueGenero-_Cantidades.pdf#page=8
1999-03-01,217,"MANFREDOTTI, CARLOS",JUSTICIALISTA,JUSTICIALISTA,6,6,JUSTICIALISTA,https://www2.hcdn.gob.ar/export/hcdn/secparl/dgral_info_parlamentaria/dip/archivos/SenadoresporBloqueGenero-_Cantidades.pdf#page=8
1999-03-01,93,"MIRANDA, JULIO ANTONIO",JUSTICIALISTA,JUSTICIALISTA,6,6,JUSTICIALISTA,https://www2.hcdn.gob.ar/export/hcdn/secparl/dgral_info_parlamentaria/dip/archivos/SenadoresporBloqueGenero-_Cantidades.pdf#page=8
1999-03-01,17,"JUAREZ, CARLOS ARTURO",JUSTICIALISTA,JUSTICIALISTA,6,6,JUSTICIALISTA,https://www2.hcdn.gob.ar/export/hcdn/secparl/dgral_info_parlamentaria/dip/archivos/SenadoresporBloqueGenero-_Cantidades.pdf#page=8
1999-03-01,239,"MASSACCESI, HORACIO",UCR - UNIÓN CÍVICA RADICAL,UCR,2,2,UNIÓN CÍVICA RADICAL,https://www2.hcdn.gob.ar/export/hcdn/secparl/dgral_info_parlamentaria/dip/archivos/SenadoresporBloqueGenero-_Cantidades.pdf#page=8
1999-03-01,235,"GAGLIARDI, EDGARDO JOSE",UCR - UNIÓN CÍVICA RADICAL,UCR,2,2,UNIÓN CÍVICA RADICAL,https://www2.hcdn.gob.ar/export/hcdn/secparl/dgral_info_parlamentaria/dip/archivos/SenadoresporBloqueGenero-_Cantidades.pdf#page=8
1999-03-01,249,"ROMERO, MARCELO JUAN",MOVIMIENTO POPULAR FUEGUINO,MOV POP FUEGUINO,1,1,MOVIMIENTO POPULAR FUEGUINO,https://www2.hcdn.gob.ar/export/hcdn/secparl/dgral_info_parlamentaria/dip/archivos/SenadoresporBloqueGenero-_Cantidades.pdf#page=8
1999-03-01,251,"SAPAG, SILVIA ESTELA",MOVIMIENTO POPULAR NEUQUINO,MOV POP NEUQUINO,1,1,MOVIMIENTO POPULAR NEUQUINO,https://www2.hcdn.gob.ar/export/hcdn/secparl/dgral_info_parlamentaria/dip/archivos/SenadoresporBloqueGenero-_Cantidades.pdf#page=8
1999-03-01,206,"ALMIRON, CARLOS HUMBERTO",FUERZA REPUBLICANA,FZA REPUBLICANA,1,1,FUERZA REPUBLICANA,https://www2.hcdn.gob.ar/export/hcdn/secparl/dgral_info_parlamentaria/dip/archivos/SenadoresporBloqueGenero-_Cantidades.pdf#page=8
