fecha,person_id,person_name,bloque,tipo,orador,archivo,seq,url,cita
1998-02-25,229,"VILLAVERDE, JORGE ANTONIO",JUSTICIALISTA,propia,"VILLAVERDE, JORGE ANTONIO",1998-02-25_r01_PREPARATORIA.pdf,48,https://www.senado.gov.ar/parlamentario/sesiones/25-02-1998/01/downloadTac,en nombre del bloque justicialista vengo a proponer como vicepresidente
1998-04-15,90,"HUMADA, JULIO CESAR",JUSTICIALISTA,propia,"HUMADA, JULIO CESAR",1998-04-15_r09_ORDINARIA.html,365,https://www.senado.gov.ar/parlamentario/sesiones/15-04-1998/09/downloadTac,"en nombre de mi bloque, que los señores senadores del justicialismo nos sentimos"
1998-04-01,31,"OYARZUN, JUAN CARLOS",MOVIMIENTO POPULAR FUEGUINO,propia,"OYARZUN, JUAN CARLOS",1998-04-01_r06_ORDINARIA.html,280,https://www.senado.gov.ar/parlamentario/sesiones/01-04-1998/06/downloadTac,"el bloque del Movimiento Popular Fueguino, a través de mi persona"
1998-05-13,42,"SOLANA, JORGE D.",MOVIMIENTO POPULAR NEUQUINO,propia,"SOLANA, JORGE D.",1998-05-13_r15_ORDINARIA.html,236,https://www.senado.gov.ar/parlamentario/sesiones/13-05-1998/15/downloadTac,en nombre del bloque del Movimiento Popular Neuquino
1998-05-20,244,"GARCIA ARECHA, JOSE MARIA",UCR - UNIÓN CÍVICA RADICAL,propia,"GARCIA ARECHA, JOSE MARIA",1998-05-20_r18_ORDINARIA.html,947,https://www.senado.gov.ar/parlamentario/sesiones/20-05-1998/18/downloadTac,en nombre del bloque de senadores de la Unión Cívica Radical adelanto nuestro
1998-05-27,106,"VAQUIR, OMAR MUHAMAD",JUSTICIALISTA,propia,"VAQUIR, OMAR MUHAMAD",1998-05-27_r21_ORDINARIA.html,139,https://www.senado.gov.ar/parlamentario/sesiones/27-05-1998/21/downloadTac,en nombre del bloque de senadores justicialistas
1998-06-10,205,"AGUNDEZ, JORGE ALFREDO",UCR - UNIÓN CÍVICA RADICAL,propia,"AGUNDEZ, JORGE ALFREDO",1998-06-10_r24_ORDINARIA.html,387,https://www.senado.gov.ar/parlamentario/sesiones/10-06-1998/24/downloadTac,En nombre del bloque de la Unión Cívica Radical quiero dejar expresamente aclarado
1998-06-24,205,"AGUNDEZ, JORGE ALFREDO",UCR - UNIÓN CÍVICA RADICAL,propia,"AGUNDEZ, JORGE ALFREDO",1998-06-24_r26_ORDINARIA.html,140,https://www.senado.gov.ar/parlamentario/sesiones/24-06-1998/26/downloadTac,en nombre del bloque de la Unión Cívica Radical adherimos
1998-07-15,90,"HUMADA, JULIO CESAR",JUSTICIALISTA,propia,"HUMADA, JULIO CESAR",1998-07-15_r29_ORDINARIA.html,906,https://www.senado.gov.ar/parlamentario/sesiones/15-07-1998/29/downloadTac,en nombre del bloque justicialista solicito la aprobación
1998-10-21,232,"REUTEMANN, CARLOS ALBERTO",JUSTICIALISTA,de otro,"AGUNDEZ, JORGE ALFREDO",1998-10-21_r53_ORDINARIA.html,397,https://www.senado.gov.ar/parlamentario/sesiones/21-10-1998/53/downloadTac,"la credibilidad de Reutemann, que participa del bloque justicialista"
1998-10-21,31,"OYARZUN, JUAN CARLOS",MOVIMIENTO POPULAR FUEGUINO,propia,"OYARZUN, JUAN CARLOS",1998-10-21_r53_ORDINARIA.html,135,https://www.senado.gov.ar/parlamentario/sesiones/21-10-1998/53/downloadTac,solicito se autorice al bloque del Movimiento Popular Fueguino a abstenerse
1998-11-25,228,"USANDIZAGA, HORACIO DANIEL",UCR - UNIÓN CÍVICA RADICAL,propia,"USANDIZAGA, HORACIO DANIEL",1998-11-25_r64_ORDINARIA.html,303,https://www.senado.gov.ar/parlamentario/sesiones/25-11-1998/64/downloadTac,"A nosotros, en el bloque de la Unión Cívica Radical, se nos ha autorizado"
1998-12-09,88,"CAFIERO, ANTONIO FRANCISCO",JUSTICIALISTA,propia,"CAFIERO, ANTONIO FRANCISCO",1998-12-09_r71_ORDINARIA.html,375,https://www.senado.gov.ar/parlamentario/sesiones/09-12-1998/71/downloadTac,los hombres que integramos el bloque justicialista de este Senado
1998-12-09,234,"MENEGHINI, JAVIER REYNALDO",UCR - UNIÓN CÍVICA RADICAL,propia,"MENEGHINI, JAVIER REYNALDO",1998-12-09_r71_ORDINARIA.html,1654,https://www.senado.gov.ar/parlamentario/sesiones/09-12-1998/71/downloadTac,"en nombre del bloque de la Unión Cívica Radical, la posición que hemos tomado"
1998-12-16,226,"SALA, OSVALDO RUBEN",JUSTICIALISTA,propia,"SALA, OSVALDO RUBEN",1998-12-16_r73_EXTRAORDINARIA.html,145,https://www.senado.gov.ar/parlamentario/sesiones/16-12-1998/73/downloadTac,en nombre del bloque justicialista quiero hacer presente
1999-03-03,226,"SALA, OSVALDO RUBEN",JUSTICIALISTA,propia,"SALA, OSVALDO RUBEN",1999-03-03_r02_ORDINARIA.html,154,https://www.senado.gov.ar/parlamentario/sesiones/03-03-1999/02/downloadTac,"en nombre del bloque justicialista, ratifico"
1999-03-10,238,"ULLOA, ROBERTO AUGUSTO",PARTIDO RENOVADOR DE SALTA,propia,"ULLOA, ROBERTO AUGUSTO",1999-03-10_r03_EN_MINORIA.pdf,29,https://www.senado.gov.ar/parlamentario/sesiones/10-03-1999/03/downloadTac,"mi bloque, el del Partido Renovador de Salta"
1999-03-10,226,"SALA, OSVALDO RUBEN",JUSTICIALISTA,propia,"SALA, OSVALDO RUBEN",1999-03-10_r03_EN_MINORIA.pdf,43,https://www.senado.gov.ar/parlamentario/sesiones/10-03-1999/03/downloadTac,en nombre de los integrantes del bloque justicialista que hemos suscripto
1999-04-07,226,"SALA, OSVALDO RUBEN",JUSTICIALISTA,propia,"SALA, OSVALDO RUBEN",1999-04-07_r06_ORDINARIA.html,125,https://www.senado.gov.ar/parlamentario/sesiones/07-04-1999/06/downloadTac,En nombre del bloque del Partido Justicialista adhiero
1999-04-14,205,"AGUNDEZ, JORGE ALFREDO",UCR - UNIÓN CÍVICA RADICAL,propia,"AGUNDEZ, JORGE ALFREDO",1999-04-14_r08_ORDINARIA.html,125,https://www.senado.gov.ar/parlamentario/sesiones/14-04-1999/08/downloadTac,esto lo hago en nombre del bloque de la Unión Cívica Radical
