capture_date,capture_url,senador_impreso,distrito_impreso,bloque_impreso
1998-02-02,https://web.archive.org/web/19980202090315id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/tell.html,ALBERTO MÁXIMO TELL,Provincia de Jujuy,Justicialista
1998-02-02,https://web.archive.org/web/19980202085955id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/magliett.html,ALBERTO RAMÓN MAGLIETTI,Provincia de Formosa,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202085921id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/lopezalc.html,ALCIDES HUMBERTO LÓPEZ,Provincia de Entre Ríos,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202085701id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/avelin.html,ALFREDO AVELÍN,Provincia de San Juan,Cruzada Renovadora de San Juan
1998-02-02,https://web.archive.org/web/19980202090131id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/penadelo.html,ANA MARGARITA PEñA DE LOPEZ,Provincia de Formosa,Justicialista
1998-02-02,https://web.archive.org/web/19980202090118id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/pardo.html,ANGEL FRANCISCO PARDO,Provincia de Corrientes,Justicialista
1998-02-02,https://web.archive.org/web/19980202085751id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/cafiero.html,ANTONIO FRANCISCO CAFIERO,Provincia de Buenos Aires,Justicialista
1998-02-02,https://web.archive.org/web/19980202085718id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/berhong.html,ANTONIO TOMÁS BERHONGARAY,Provincia de La Pampa,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202085636id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/alasino.html,AUGUSTO ALASINO,Provincia de Entre Ríos,Justicialista
1998-02-02,https://web.archive.org/web/19980202092254id_/http://www.senado.gov.ar:80/senadores/alasino.html,AUGUSTO ALASINO,Provincia de Entre Ríos,Justicialista
1998-02-02,https://web.archive.org/web/19980202090148id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/reutem1.html,CARLOS ALBERTO REUTEMANN,Provincia de Santa Fe,Justicialista
1998-02-02,https://web.archive.org/web/19980202090359id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/verna.html,CARLOS ALBERTO VERNA,Provincia de La Pampa,Justicialista
1998-02-02,https://web.archive.org/web/19980202085644id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/almiron.html,CARLOS HUMBERTO ALMIRÓN,Provincia de Tucumán,Fuerza Republicana
1998-02-02,https://web.archive.org/web/19980202085815id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/delarosa.html,CARLOS LEONARDO DE LA ROSA,Provincia de Mendoza,Justicialista
1998-02-02,https://web.archive.org/web/19980202090003id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/manfredo.html,CARLOS MANFREDOTTI,Provincia de Tierra del Fuego,Justicialista
1998-02-02,https://web.archive.org/web/19980202090306id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/storani.html,CONRADO HUGO STORANI,Provincia de Córdoba,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202085946id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/macKarty.html,CÉSAR MAC KARTHY,Provincia del Chubut,Justicialista
1998-02-02,https://web.archive.org/web/19980202085710id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/baum.html,DANIEL BAUM,Provincia de Neuquén,Justicialista
1998-02-02,https://web.archive.org/web/19980202085653id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/angeloz.html,EDUARDO CÉSAR ANGELOZ,Provincia de Córdoba,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202090044id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/menem.html,EDUARDO MENEM,Provincia de La Rioja,Justicialista
1998-02-02,https://web.archive.org/web/19980202090341id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/vaca.html,EDUARDO PEDRO VACA,Ciudad de Buenos Aires,Justicialista
1998-02-02,https://web.archive.org/web/19980202085759id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/cantarer.html,EMILIO MARCELO CANTARERO,Provincia de Salta,Justicialista
1998-02-02,https://web.archive.org/web/19980202090011id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/almude.html,ENRIQUE JOSÉ MARIO MARTÍNEZ ALMUDÉVAR,Provincia de La Pampa,Justicialista
1998-02-02,https://web.archive.org/web/19980202090100id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/oudin.html,ERNESTO RENÉ OUDÍN,Provincia de Misiones,Justicialista
1998-02-02,https://web.archive.org/web/19980202090248id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/sapag.html,FELIPE RODOLFO SAPAG,Provincia de Neuquén,Movimiento Popular Neuquino
1998-02-02,https://web.archive.org/web/19980202085743id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/cabana.html,FERNANDO VENANCIO CABANA,Provincia de Jujuy,Justicialista
1998-02-02,https://web.archive.org/web/19980202090415id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/zalazar.html,HORACIO ANIBAL ZALAZAR,Provincia del Chaco,Justicialista
1998-02-02,https://web.archive.org/web/19980202090333id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/usandiza.html,HORACIO DANIEL USANDIZAGA,Provincia de Santa Fe,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202090215id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/sager.html,HUGO ABEL SAGER,Provincia del Chaco,Justicialista
1998-02-02,https://web.archive.org/web/19980202090232id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/salum.html,HUMBERTO ELÍAS SALUM,Provincia de Jujuy,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202090019id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/maya.html,HÉCTOR MARÍA MAYA,Provincia de Entre Ríos,Justicialista
1998-02-02,https://web.archive.org/web/19980202085628id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/agundez.html,JORGE ALFREDO AGUNDEZ,Provincia de San Luis,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202090257id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/solana.html,JORGE DOROTEO SOLANA,Provincia de Neuquén,Movimiento Popular Neuquino
1998-02-02,https://web.archive.org/web/19980202090407id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/yoma.html,JORGE RAÚL YOMA,Provincia de La Rioja,Justicialista
