snapshot_date,snapshot_url,bloque_impreso,senador_impreso
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Autonomista,"ROMERO FERIS , JOSÉ ANTONIO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Bloque Provincia De Santa Cruz Partido Justicialista,"VARIZAT , DANIEL ALBERTO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Bloquista De La Provincia De San Juan,"BRAVO , LEOPOLDO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Fre.Pa.So,"DEL PIERO , PEDRO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Frente Cívico Y Social De Catamarca,"VILLARROEL , PEDRO GUILLERMO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"ALASINO , AUGUSTO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"ARNOLD,EDUARDO ARIEL"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"BAUM , DANIEL"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"BAUZÁ , EDUARDO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"BRANDA , RICARDO ALBERTO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"CABANA , FERNANDO VENANCIO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"CAFIERO , ANTONIO FRANCISCO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"CANTARERO , EMILIO MARCELO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"CARBONELL, JOSE FERNANDO FRANCISCO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"CORACH, CARLOS VLADIMIRO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"COSTANZO , REMO JOSÉ"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"DE LA ROSA , CARLOS LEONARDO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"DI PIETRO , ARTURO ROLANDO"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"GIOJA , JOSÉ LUIS"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"HUMADA , JULIO CÉSAR"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"MARTINEZ ALMUDEVAR , ENRIQUE J."
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"MASSAT , JORGE JOSÉ"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"MAYA , HÉCTOR MARÍA"
2000-05-25,https://web.archive.org/web/20000525090352id_/http://www.senado.gov.ar:80/web/senadores/m_bloques.html,Justicialista,"MENEM , EDUARDO"
