senador,desde,hasta,bloque,familia
"ABAD, MAXIMILIANO",2024-02-23,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"ABAL MEDINA, JUAN MANUEL",2014-12-29,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"ABDALA, BARTOLOMÉ ESTEBAN",2024-02-23,2024-12-12,LA LIBERTAD AVANZA,La Libertad Avanza
"ABRAMETO, JACOBO ALBERTO",2007-08-08,2007-12-05,RADICAL RIONEGRINO,Provincial & other alliances
"AGUILAR, EDUARDO ALBERTO",2013-12-18,2019-11-13,JUSTICIALISTA,Peronist / Justicialist
"AGUIRRE, HILDA CLELIA",2011-12-21,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"AGUNDEZ, JORGE ALFREDO",2005-02-03,2005-11-30,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"ALMIRÓN, ANA CLAUDIA",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"ALPEROVICH, JOSÉ JORGE",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"ALVAREZ RIVERO, CARMEN",2023-12-10,2024-12-12,LA LIBERTAD AVANZA,La Libertad Avanza
"ANDRADA, GUILLERMO EDUARDO",2023-12-10,2024-12-12,CONVICCIÓN FEDERAL,Provincial & other alliances
"ARANCIO de BELLER, LYLIA MÓNICA",2005-02-03,2005-11-30,FRENTE CÍVICO JUJEÑO,Provincial & other alliances
"ARCE, CARLOS OMAR",2024-02-23,2024-12-12,ENCUENTRO MISIONERO,Provincial & other alliances
"ARRASCAETA, IVANNA MARCELA",2024-02-23,2024-12-12,LA LIBERTAD AVANZA,La Libertad Avanza
"ARTAZA, EUGENIO JUSTINIANO",2010-04-14,2015-11-25,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"ATAUCHE, EZEQUIEL",2024-02-23,2024-12-12,LA LIBERTAD AVANZA,La Libertad Avanza
"AVILA, BEATRIZ LUISA",2021-12-29,2024-12-12,INDEPENDENCIA,Provincial & other alliances
"BANICEVICH, JORGE ESTEBAN",2009-05-13,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"BAR, GRACIELA YOLANDA",2005-12-10,2007-12-05,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"BARRIONUEVO, WALTER BASILIO",2011-12-21,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"BASUALDO, ROBERTO GUSTAVO",2005-12-21,2023-09-28,PRODUCCIÓN Y TRABAJO,Provincial & other alliances
"BEDIA, VILMA FACUNDA",2024-02-23,2024-12-12,LA LIBERTAD AVANZA,La Libertad Avanza
"BENSUSÁN, DANIEL PABLO",2021-12-29,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"BERMEJO, ROLANDO ADOLFO",2010-04-14,2015-11-25,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"BERTONE, ROSANA ANDREA",2013-12-18,2015-11-25,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"BIANCALANI, FABIO DARIO",2007-12-12,2013-12-04,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"BLANCO, PABLO DANIEL",2019-12-20,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"BLAS, INÉS IMELDA",2011-12-21,2015-11-25,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"BLAS, INÉS IMELDA",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"BONGIORNO, MARIA JOSE",2007-12-12,2013-12-04,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"BORELLO, MARTA",2011-12-21,2015-11-25,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"BORTOLOZZI, ADRIANA RAQUEL",2005-12-21,2011-11-02,ESPERANZA FEDERAL,Provincial & other alliances
"BOYADJIAN, MIRIAM RUTH",2015-09-16,2019-11-13,MOVIMIENTO POPULAR FUEGUINO,Provincial & other alliances
"BRAILLARD POCCARD, NÉSTOR PEDRO",2016-03-30,2021-12-09,FRENTE PRO,Radical / Cambiemos / JxC
"BRIZUELA Y DORIA DE CARA, OLGA INES",2017-12-27,2019-11-13,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"BULLRICH, ESTEBAN JOSÉ",2017-12-27,2021-12-09,FRENTE PRO,Radical / Cambiemos / JxC
"BUSSI, RICARDO ARGENTINO",2005-02-03,2007-08-22,FUERZA REPUBLICANA,Provincial & other alliances
"CABANCHIK, SAMUEL MANUEL",2007-12-12,2013-12-04,PROYECTO BUENOS AIRES FEDERAL,Provincial & other alliances
"CABRAL, SALVADOR",2011-12-21,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
