case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,furniture_in_paragraph,confidence,opening_words,reader_notes,checked_by_hand_afterwards
1,2020-03-01_r00,01-03-2020_ASAMBLEA.pdf,24,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,Con nuestra llegada hemos encontrado un panorama de desidia y abandono en ese tema.,"Label opens the turn on Pág. 8 under the heading ""4. Mensaje del señor presidente de la Nación""; pages 9-24 carry no new bold label, only running heads, ""Dirección General de Taquígrafos"" and applause; the quoted paragraph on Pág. 24 begins ""Así como lo hacemos... (Aplausos.) Con nuestra llegada hemos encontrado un panorama de desidia y abandono en ese tema.""",
2,2022-03-01_r00,01-03-2022_ASAMBLEA.pdf,31,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,Tengo la convicción de que Malvinas nos une en una causa nacional que convoca,"Pág. 21 prints the same label twice (after two ""-Manifestaciones simultáneas."" interruptions); the last one governs, and pages 22-31 print no new label.",
3,2023-03-01_r00,01-03-2023_ASAMBLEA.pdf,21,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,Hay otras historias. Son las historias de las personas de carne y hueso cuyas,Label opens the turn at the top of Pág. 9; pages 10-21 carry no new bold label.,
4,2023-03-01_r00,01-03-2023_ASAMBLEA.pdf,27,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,"De igual modo, continuamos con las obras e inversiones para contar con más efectores","Same turn as case 3, still unbroken at Pág. 27; the quoted words follow ""(Aplausos.)"" inside the first paragraph of that page.",
5,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,19,Sra. Ávila,Sra. Ávila.-,yes,yes,same-paragraph,none,high,"Muchas gracias, señora presidenta. Quiero presentar en este cuerpo una cuestión de privilegio para","The label paragraph reads ""Sra. Ávila.- Muchas gracias, señora presidenta.""; the quote continues into the next paragraph of the same turn.",
6,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,60,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Senador Rodas: por favor, explique lo del jardín de infantes. Ahí el senador Rodas","Quote spans the label paragraph and the following line ""Ahí el senador Rodas va a explicar."" of the same turn.",
7,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,61,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Sí, el del nombre del senador Bullrich pasa a comisión.",One of several turns by the same speaker on the page; only this one carries the quoted words.,
8,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,84,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes).-,yes,yes,same-paragraph,none,high,"Orden del Día N° 268/22. Dictamen en el proyecto de ley venido en revisión,","Follows the bold section title ""25. Creación del Régimen de Promoción de Inversiones en la Industria Automotriz - Autopartista y su Cadena de Valor (O.D. Nº 268/22.)"".",
9,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,92,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes).-,yes,yes,same-paragraph,none,high,"Ahora me perdí, tengo que volver a leerle de vuelta…","Printed as ""Sr. Secretario (Fuentes).- Ahora me perdí, tengo que volver a leerle de vuelta…"" right after ""-Manifestaciones simultáneas.""",
10,2021-06-02_r07,02-06-2021_ESPECIAL.pdf,27,Sr. Caserio.-…,Sr. Caserio.-,yes,yes,same-paragraph,none,high,"o sea, 1.500.000 más. Esto significa que la empresa va a terminar pagando 2.750.000","Label is followed by an ellipsis, ""Sr. Caserio.-… o sea, 1.500.000 más."", resuming after ""-Contenido no inteligible.""",
