case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,furniture_in_paragraph,confidence,opening_words,reader_notes
1,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,3,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Para una manifestación en minoría tiene la palabra el señor senador por Salta.,Clean scan; label and quoted words in the same line/paragraph.
2,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,3,Sr. SALA,Sr. SALA.-,yes,yes,same-paragraph,none,high,"Señor presidente: es para proponer que si dentro de cinco minutos no tenemos quórum,",Clean scan; label and quoted words in the same paragraph.
3,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,4,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,"superscript footnote marker ""1"" printed immediately after the quoted sentence, referring to a footnote (""Ver el Apéndice."") at the bottom of the page",high,Se procederá en consecuencia.,"Quoted words ""Se procederá en consecuencia."" appear once, followed directly by the footnote digit ""1"" within the same paragraph."
4,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,5,Sr. GALVÁN,Sr. GALVÁN.-,yes,yes,same-paragraph,none,high,"Señor presidente: si bien es cierto que, como corresponde, nos estamos ateniendo estrictamente a","Quoted words begin the first paragraph at the top of the later page, directly after the label."
5,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,5,Sr. ALASINO,Sr. ALASINO.-,yes,yes,same-paragraph,none,high,Señor presidente: acompañamos la propuesta del señor senador Galván.,Clean scan; label and quoted words in the same paragraph.
6,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,5,Sr. ULLOA,Sr. ULLOA.-,yes,yes,same-paragraph,none,high,"Señor presidente: en el caso particular del vicepresidente 2, en representación de los partidos",Clean scan; label and quoted words in the same paragraph.
7,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,5,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Aprobado.,"The word ""Aprobado."" is short and generic but only one instance appears on the supplied pages, directly after the label."
8,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,6,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Invito al señor senador Ruggero Preto a acercarse al estrado de la Presidencia para,Clean scan; label and quoted words in the same paragraph.
9,2000-03-01_r00,2000-03-01_r00_ASAMBLEA.pdf,5,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,"Si hay asentimiento, así se procederá.","Printed page numbers on the supplied images read ""2"" and ""3"", not ""4""/""5"" as described in the case list, but the quoted words appear only once across the two pages, directly after the label, so identification is unambiguous."
10,2000-03-01_r00,2000-03-01_r00_ASAMBLEA.pdf,6,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Continúa la sesión. Invito al señor presidente de la Nación Argentina a exponer su,"Printed page number on the later image reads ""4"", not ""6"" as described in the case list. The quoted words open a new paragraph right under the section heading ""4 Mensaje del señor presidente de la Nación,"" with the label ""Sr. PRESIDENTE.-"" starting that same paragraph; the heading itself is a separate line above the paragraph, not inside it."
11,2000-10-03_r54,2000-10-03_r54_ESPECIAL.pdf,3,Sr. Losada,Sr. Losada.-,yes,yes,same-paragraph,none,high,Antes de levantar la reunión volveríamos a hacer uso de la palabra para formular,Clean scan; label and quoted words in the same paragraph.
12,2000-10-03_r54,2000-10-03_r54_ESPECIAL.pdf,3,Sr. Rodríguez Saá,Sr. Rodríguez Saá.-,yes,yes,same-paragraph,none,high,¿Hay dictamen impreso?,Clean scan; label and quoted words in the same paragraph.
13,2001-07-18_r45,2001-07-18_r45_ORDINARIA.pdf,13,Sr. Yoma,Sr. Yoma.,yes,yes,same-paragraph,none,high,Señor presidente: además de adherir al contenido del proyecto —ya que se trata de,Clear match; label immediately precedes the quoted words on page 13.
14,2001-07-18_r45,2001-07-18_r45_ORDINARIA.pdf,36,Sr. Presidente (Losada),Sr. Presidente (Losada).,yes,yes,same-paragraph,"the item-73 approval sentence is immediately followed (in the extracted text) by the section number ""74"" that heads the next item, ""Acuerdos con el Ministerio de Trabajo alemán""",high,Queda aprobada la declaración. Se procederá en consecuencia.,"Quoted text is the closing line of item 73 (""Foro Internacional de Emprendedores""); the trailing ""74"" is the number of the following section heading, not part of the spoken sentence."
15,2001-07-18_r45,2001-07-18_r45_ORDINARIA.pdf,36,Sr. Presidente (Losada),Sr. Presidente (Losada).,yes,yes,same-paragraph,"the item-74 approval sentence is immediately followed (in the extracted text) by the section number ""75"" that heads the next item, ""V Congreso Argentino de Educación Física y Ciencia""",high,Queda aprobada la declaración. Se procederá en consecuencia.,"Same pattern as case 14, one item later on the same page; the sentence ""Queda aprobada la declaración. Se procederá en consecuencia."" recurs identically for each item on this page, distinguished only by the trailing section number."
16,2001-07-18_r45,2001-07-18_r45_ORDINARIA.pdf,56,Sr. Presidente (Losada),Sr. Presidente (Losada).,yes,yes,same-paragraph,none,high,Esta Presidencia quiere hacer saber a los señores senadores que en la casa hay,Clear match on page 56.
17,2001-11-07_r69,2001-11-07_r69_ORDINARIA.pdf,18,Sr. Verna,Sr. Verna.,yes,yes,same-paragraph,none,high,Señor presidente: solicito que se comunique esta sanción a la Cámara de Diputados con,Clear match on page 18.
18,2001-11-14_r71,2001-11-14_r71_ORDINARIA.pdf,10,Sr. Martínez Almudevar,Sr. Martínez Almudevar.,yes,yes,same-paragraph,none,high,Porque fue girado a la Comisión de Presupuesto y Hacienda y no a la,Clear match on page 10; this is a short one-line reply to a question from Sr. Moreau.
19,2001-11-14_r71,2001-11-14_r71_ORDINARIA.pdf,22,Sr. Presidente (Menem),Sr. Presidente (Menem).,yes,yes,same-paragraph,none,high,Corresponde considerar el dictamen de la Comisión de Industria en el proyecto de declaración,"Clear match on page 22, opening item 51 ""II Exposición Industrial del Conurbano Sur""."
20,2001-11-14_r71,2001-11-14_r71_ORDINARIA.pdf,29,Sr. Presidente (Menem),Sr. Presidente (Menem).,yes,yes,same-paragraph,none,high,En consideración el artículo 1 con las modificaciones propuestas. Tiene la palabra el señor,Clear match on page 29.
21,2001-11-28_r73,2001-11-28_r73_ORDINARIA.pdf,20,Sr. Presidente (Losada),Sr. Presidente (Losada). —,yes,yes,same-paragraph,none,high,Corresponde considerar el mensaje del Poder Ejecutivo por el que se solicita acuerdo para,"Label opens the same paragraph as the quoted words (page 20, under heading ""Jueza de la Cámara Federal del Apelaciones de Rosario, Santa Fe""); the identical phrase ""Corresponde considerar el mensaje del Poder Ejecutivo por el que se solicita acuerdo para"" recurs three more times later on page 20 for other nominees, each also preceded by the same ""Sr. Presidente (Losada). —"" label, so the wording is not unique to this instance but the governing label is consistent throughout."
22,2001-11-28_r73,2001-11-28_r73_ORDINARIA.pdf,20,Sr. Presidente (Losada),Sr. Presidente (Losada).,yes,yes,same-paragraph,none,medium,Corresponde considerar el mensaje del Poder Ejecutivo por el que se solicita acuerdo para,"The exact phrase ""Corresponde considerar el mensaje del Poder Ejecutivo por el que se solicita acuerdo para"" recurs verbatim four times on page 20 (for the Rosario, Santa Fe judge, Concepción del Uruguay judge, and Tucumán judge nominations), each time introduced directly by ""Sr. Presidente (Losada). —"", so the governing label is the same regardless of which occurrence is meant, but I cannot tell from the supplied excerpt which specific occurrence this case targets."
23,2001-11-28_r73,2001-11-28_r73_ORDINARIA.pdf,20,Sr. Presidente (Losada),Sr. Presidente (Losada).,yes,yes,same-paragraph,none,medium,Corresponde considerar el mensaje del Poder Ejecutivo por el que se solicita acuerdo para,"Identical pages and quoted words to case 22; same phrase recurs four times on page 20, each preceded directly by ""Sr. Presidente (Losada). —"", so the label is unambiguous even though the specific occurrence intended is not distinguishable from the excerpt alone."
24,2001-11-28_r73,2001-11-28_r73_ORDINARIA.pdf,20,Sr. Presidente (Losada),Sr. Presidente (Losada).,yes,yes,same-paragraph,none,medium,Corresponde considerar el mensaje del Poder Ejecutivo por el que se solicita acuerdo para,"Identical pages and quoted words to cases 22 and 23; same phrase recurs four times on page 20, each preceded directly by ""Sr. Presidente (Losada). —"", so the label is unambiguous even though the specific occurrence intended is not distinguishable from the excerpt alone."
25,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,2,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). —,yes,yes,same-paragraph,none,high,Queda abierta la sesión especial.,"Clear scan, label directly precedes quoted words."
26,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,2,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). —,yes,yes,same-paragraph,none,high,"Se encuentra en antesala el señor jefe de Gabinete de Ministros, contador Jorge Milton","Clear scan, label directly precedes quoted words."
27,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,12,Sr. Jefe de Gabinete de Ministros,Sr. Jefe de Gabinete de Ministros. —,yes,yes,same-paragraph,none,high,"Respecto del acuerdo con el Fondo Monetario Internacional, efectivamente existe un cronograma de negociaciones.","Clear scan, label directly precedes quoted words."
28,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,18,Sra. Escudero,Sra. Escudero. —,yes,yes,same-paragraph,none,high,"Señor presidente: dado que varias preguntas quedaron sin contestar, quiero preguntarle al jefe de","Clear scan, label directly precedes quoted words."
29,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,19,Sr. Presidente (López Arias),Sr. Presidente (López Arias). —,yes,yes,same-paragraph,none,high,"Gracias, señor jefe. Senadora Halak, ¿va a hacer uso de la palabra?","Clear scan, label directly precedes quoted words."
30,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,23,Sr. Losada,Sr. Losada.—,yes,yes,same-paragraph,none,high,Señor presidente y señor jefe de Gabinete de Ministros: quiero decir que al igual,"Clear scan, label directly precedes quoted words."
31,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,29,Sr. Presidente (López Arias),Sr. Presidente (López Arias). —,yes,yes,same-paragraph,none,high,Tiene la palabra el señor jefe de Gabinete de Ministros.,"Clear scan, label directly precedes quoted words."
32,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,31,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner). —,yes,yes,same-paragraph,none,high,Muy bien. Una pregunta y nada más.,"Clear scan, label directly precedes quoted words."
33,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,36,Sra. Perceval,Sra. Perceval. —,yes,yes,same-paragraph,none,high,"No; gracias, señor presidente.","Similar short turns nearby (Sra. Müller ""No, señor presidente."", Sr. Ochoa ""No haré uso de la palabra, señor presidente."") but only Sra. Perceval's turn matches the exact quoted wording ""No; gracias, señor presidente."""
34,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,42,Sra. Gómez de Bertone,Sra. Gómez de Bertone. —,yes,yes,same-paragraph,none,high,Señor jefe de Gabinete: mi pregunta se refiere a los fondos viales e hídricos.,"Clear scan, label directly precedes quoted words."
35,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,52,Sr. Maestro,Sr. Maestro.—,yes,yes,same-paragraph,none,high,"Gracias, señor presidente. Simplemente, queremos manifestar nuestro profundo rechazo a las palabras peyorativas formuladas","Clear scan, label directly precedes quoted words."
36,2002-08-22_r20,2002-08-22_r20_EN_MINORIA.pdf,5,Sr. Presidente (López Arias),Sr. Presidente (López Arias). —,yes,yes,same-paragraph,none,high,Quedará constancia. Continúa la toma de lista de los senadores presentes.,"""Quedará constancia."" begins the labeled turn; ""Continúa la toma de lista de los senadores presentes."" is an indented continuation sentence of the same turn with no intervening label, so the same label governs both parts of the quote."
