case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,confidence,opening_words,reader_notes
1,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,4,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,high,"Si hay asentimiento, así se hará.",Clear match; label and quoted words are one line.
2,2000-03-01_r00,2000-03-01_r00_ASAMBLEA.pdf,5,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,high,Por Secretaría se dará lectura al mensaje y decreto del Poder Ejecutivo nacional por,Exact match at start of paragraph.
3,2001-11-07_r69,2001-11-07_r69_ORDINARIA.pdf,4,Sr. Presidente (Menem),Sr. Presidente (Menem).,yes,yes,same-paragraph,high,Se llamará durante cinco minutos y luego se pasará lista.,Label and quoted words are one line.
4,2001-11-28_r73,2001-11-28_r73_ORDINARIA.pdf,49,Sr. Arnold,Sr. Arnold.,yes,yes,same-paragraph,high,Solicito que se inserte en el Diario de Sesiones el discurso que pensaba pronunciar,A footnote appears at the bottom of the page but is not part of this paragraph.
5,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,18,Sr. Presidente (López Arias),Sr. Presidente (Lopez Arias).,yes,yes,same-paragraph,high,Tiene la palabra la señora senadora Escudero.,Label and quoted words are one line; no duplicate of this exact quote on the page.
6,2002-04-11_r05,2002-04-11_r05_ESPECIAL.pdf,54,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda).,yes,yes,same-paragraph,high,Tiene la palabra el señor jefe de Gabinete de Ministros.,First line on page.
7,2003-11-19_r33,2003-11-19_r33_ORDINARIA.pdf,7,Sr. Secretario (Estrada),Sr. Secretario (Estrada).,yes,yes,same-paragraph,high,Perdón; es el régimen penal para gestión integral de residuosindustriales.,Bold-style label formatting on this page.
8,2003-11-26_r35,2003-11-26_r35_ORDINARIA.pdf,72,Sra. Avelín,Sra. Avelin.,yes,yes,same-paragraph,high,Solicito que se me incluya en la lista de oradores.,Label and quoted words are one line.
9,2004-08-18_r19,2004-08-18_r19_ORDINARIA.pdf,4,Sr. Presidente,Sr. Presidente.,yes,approx,same-paragraph,high,"En consideración en general.Si no se hace uso de la palabra, se va a","Only the first clause is visible as the last line of this page, directly after the label; the rest continues onto the next page, which was not supplied. No new label intervenes, so the governing label is unambiguous."
10,2004-11-10_r32,2004-11-10_r32_ORDINARIA.pdf,48,Sr. Presidente,Sr. Presidente.,yes,yes,same-paragraph,high,Queda aprobada la resolución. Se procederá en consecuencia.,"The exact phrase appears twice on this page, each time immediately preceded by the same label, so the answer is unaffected by the ambiguity."
