case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,furniture_in_paragraph,confidence,opening_words,reader_notes,checked_by_hand_afterwards
1,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,3,Sr. ULLOA,Sr. ULLOA.-,yes,yes,same-paragraph,none,medium,Pido la palabra.,"""Pido la palabra."" also appears later on this same page under Sr. SALA.-; ambiguous which instance is intended, reporting the first (topmost) occurrence.",
2,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,3,Sr. ULLOA,Sr. ULLOA.-,yes,yes,same-paragraph,none,high,Señor presidente: ¿podría informarme cuántos señores senadores hay en la Casa?,none,
3,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,3,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,"Así se hará, señor senador. Estamos llamando.",none,
4,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,3,Sr. SALA,Sr. ULLOA.-,phrase-printed-twice,yes,same-paragraph,none,medium,Pido la palabra.,"ambiguous — ""Pido la palabra."" is printed twice on this page, once under Sr. ULLOA.- and once under Sr. SALA.-; both labels could genuinely govern this exact phrase, reporting the first (topmost) occurrence.","parser right — 'Pido la palabra.' is printed twice on the page, under Sr. ULLOA and under Sr. SALA. The sampled turn is the Sala one, which the page prints verbatim; the reader reported the first occurrence."
5,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,3,Sr. SALA,Sr. SALA.-,yes,yes,same-paragraph,none,high,"Es una falta de respeto, señor presidente...",none,
6,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,4,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Invito al señor senador por Córdoba doctor César Angeloz a izar la bandera en,none,
7,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,4,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,"De acuerdo con el artículo 1 del Reglamento de la Honorable Cámara, corresponde fijar","printed text reads ""artículo 1°"" (with degree mark) vs quoted ""artículo 1"", otherwise an exact match.",
8,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,4,Sr. GALVÁN,Sr. GALVÁN.-,yes,yes,same-paragraph,none,high,Señor presidente: propongo que se fijen los miércoles y jueves a las 15 y,none,
9,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,5,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Tiene la palabra el señor senador por Entre Ríos.,none,
10,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,5,Sr. GALVÁN,Sr. GALVÁN.-,yes,yes,same-paragraph,none,high,"Propongo que sea por signos, señor presidente.",none,
