case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,furniture_in_paragraph,confidence,opening_words,reader_notes,checked_by_hand_afterwards
1,2020-03-01_r00,01-03-2020_ASAMBLEA.pdf,13,Sr. Presidente de la Nación,Sr. Presidente de la Nación,yes,yes,previous-page,none,high,quien de modo singular y ante los líderes de las finanzas internacionales volvió a,"Turn opens on p.8 (""Sr. Presidente de la Nación.- Señora vicepresidenta...""); no new bold label appears anywhere on pages 9-13, only running heads/footers and (Aplausos.) interruptions between paragraphs, so the same label still governs the quoted words on p.13.",
2,2022-03-01_r00,01-03-2022_ASAMBLEA.pdf,21,Sr. Presidente de la Nación,Sr. Presidente de la Nación,yes,yes,same-paragraph,none,high,Pido autorización para que me dejen continuar. Muchas gracias. Y mientras actuamos defendiendo los,"The quoted words are the opening sentence of the label's own paragraph, right after a ""-Manifestaciones simultáneas."" stage direction.",
3,2023-03-01_r00,01-03-2023_ASAMBLEA.pdf,11,Sr. Presidente de la Nación,Sr. Presidente de la Nación,yes,yes,previous-page,none,high,"También me equivoqué, por supuesto, pero cuando lo advertí fui capaz de revisar y","Turn opens on p.9 (""Sr. Presidente de la Nación.- Buenos días a todos...""); no new bold label appears on p.10 or p.11, so the same label carries forward to the quoted words on p.11.",
4,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,19,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala),yes,yes,same-paragraph,none,high,"Gracias, señor senador.","Quoted words are the entire content of the label's paragraph, immediately after a senator's ""(Aplausos.)""-closed turn.",
5,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,34,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala),yes,yes,same-paragraph,none,high,"Entonces, se ponen en consideración las mociones presentadas por los senadores Mayans y Naidenoff.",Quoted words are the entire content of the label's paragraph.,
6,2021-06-02_r07,02-06-2021_ESPECIAL.pdf,57,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes),yes,yes,same-paragraph,none,high,"Repito, senador Rodríguez Saá: ¿su voto? –","Quoted words are the entire content of the label's paragraph, following a ""-Luego de unos instantes:"" stage direction.",
7,2021-06-02_r07,02-06-2021_ESPECIAL.pdf,62,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes),yes,yes,same-paragraph,none,high,Negativo Fiad. Gracias. García Larraburu: afirmativo. Giacoppo: afirmativo. Senadora Giménez: ¿su voto?,"The plain (non-bold) roll-call lines ""García Larraburu: afirmativo. Giacoppo: afirmativo. Senadora Giménez: ¿su voto?"" continue the Secretary's paragraph, as no bold label intervenes between ""Negativo Fiad. Gracias."" and them.",
8,2022-06-02_r06,02-06-2022_INFORMATIVA_ESPECIAL.pdf,35,Sr. Blanco,Sr. Blanco,yes,yes,same-paragraph,none,high,"Buenas tardes, ministro. Voy a hacer un comentario sobre el inicio de su exposición","Quoted words are the entire content of the label's paragraph, right after the presiding senator says ""Tiene la palabra el senador Pablo Blanco.""",
9,2022-06-02_r06,02-06-2022_INFORMATIVA_ESPECIAL.pdf,60,Sr. Linares,Sr. Linares,yes,yes,same-paragraph,none,high,"Gracias, señor presidente. Bienvenido, compañero jefe de Gabinete de Ministros. Es un placer escucharlo.",Quoted words are the entire content of the label's paragraph.,
10,2020-10-02_r15,02-10-2020_ESPECIAL.pdf,30,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala),yes,yes,same-paragraph,none,high,"Muy bien, entonces sometemos a votación el pedido de preferencia. Voten por favor a",Quoted words are the entire content of the label's paragraph.,
