case,session,source_file,page,parser_speaker,blind_read_label,agree,opening_words,which_occurrence,reader_notes
h001,1998-03-04_r02,1998-03-04_r02_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Queda definitivamente sancionado el proyecto de ley. Se harán las comunicaciones correspondientes.,5 of 5,
h002,1998-03-04_r02,1998-03-04_r02_ORDINARIA.html,,Sr. MARTÍNEZ ALMUDEVAR,Sr. MARTÍNEZ ALMUDEVAR.-,yes,"Sí, señor presidente. No quiero prolongar esta cuestión. Simplemente quiero decir que las invitaciones de ayer se hicieron por el servicio de Expedición de la casa. A lo mejor no",,"Label is directly above, but the speech does not follow from what precedes it: the debate is about PAMI and the passage answers a question about yesterday's invitations. The page looks like two stretches of session spliced together; the label itself is unambiguous."
h003,1998-03-11_r03,1998-03-11_r03_ORDINARIA.html,,Sr. MANFREDOTTI,Sr. MANFREDOTTI.-,yes,"Señor presidente: en igual sentido que el señor senador Sala, pido que se agregue mi firma en este proyecto de resolución contenido en el expediente S. 110/98.",,
h004,1998-03-11_r03,1998-03-11_r03_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Tiene la palabra el señor senador por Corrientes del bloque justicialista.,,
h005,1998-03-11_r03,1998-03-11_r03_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Tiene la palabra el señor senador por Misiones.,4 of 8,
h006,1998-03-18_r04,1998-03-18_r04_ORDINARIA.html,,Sr. ALASINO,Sr. ALASINO.-,yes,"Señor presidente: si hay acuerdo, propongo que la expresión de la voluntad se haga por signos.",,
h007,1998-03-18_r04,1998-03-18_r04_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",,"Broken bold: the run opens at the heading 'Orden del Día N° 1396' and the label sits at its end, so heading and label share one bold run."
h008,1998-03-18_r04,1998-03-18_r04_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Queda aprobada la declaración. Se procederá en consecuencia .,,
h009,1998-03-18_r04,1998-03-18_r04_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Queda aprobada la comunicación. Se procederá en consecuencia.,,"A few lines up the same speaker is printed 'Sr. PRESIDENTE (Menem).' with no dash, inside a bold run that starts at the heading 'Orden del Día N° 13'. The label immediately above the passage is well formed."
h010,1998-03-18_r04,1998-03-18_r04_ORDINARIA.html,,Sr. SECRETARIO (Piuzzi),Sr. SECRETARIO (Piuzzi).-,yes,(Lee:),,The passage itself is the stenographer's '( Lee :)' note that opens the secretary's reading.
h011,1998-03-25_r05,1998-03-25_r05_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.--,yes,"Le resta un minuto, señor senador.",1 of 2,This file prints the double hyphen '.--' throughout.
h012,1998-03-25_r05,1998-03-25_r05_ORDINARIA.html,,Sr. MAGLIETTI,Sr. MAGLIETTI.--,yes,¡Los indultos fueron peores!,,
h013,1998-03-25_r05,1998-03-25_r05_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.--,yes,"Queda constancia de su manifestación, señor senador.",,
h014,1998-03-25_r05,1998-03-25_r05_ORDINARIA.html,,Sr. GENOUD,Sr. GENOUD.--,yes,"Yo puedo pedir la verificación del quórum, señor presidente. Pero me parece un procedimiento poco amable; por lo menos, no se practica en la Cámara. Quisiera saber cuántos senadores hay",,
h015,1998-04-01_r06,1998-04-01_r06_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).--,yes,"Muy bien, señor senador.",,
