case,session,source_file,page,parser_speaker,blind_read_label,agree,opening_words,reader_notes
h01,1998-04-15_r09,1998-04-15_r09_ORDINARIA.html,,Sr. AGUIRRE LANARI,Sr. AGUIRRE LANARI,yes,Señor presidente: el tema al que hace referencia el señor senador por La Rioja,
h02,1998-06-03_r22,1998-06-03_r22_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero),yes,Corresponde considerar el dictamen de la Comisión de Minería en el proyecto de resolución,
h03,1998-06-24_r26,1998-06-24_r26_ORDINARIA.html,,Sr. BERHONGARAY,Sr. BERHONGARAY,yes,"Me doy cuenta de que hay temas que no se pueden tocar, y estamos",
h04,1998-07-01_r28,1998-07-01_r28_ORDINARIA.html,,Sr. GALVÁN,Sr. GALVÁN,yes,"Por lo tanto -reitero- solicito que esta Cámara se constituya en comisión, para que",
h05,1998-07-15_r29,1998-07-15_r29_ORDINARIA.html,,Sr. SECRETARIO (Piuzzi),Sr. SECRETARIO (Piuzzi),yes,"Los senadores San Millán, Humada, Verna, de la Rosa, Oudín, Cafiero, Alasino, Oyarzún, Cantarero,",
h06,1998-09-02_r42,1998-09-02_r42_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Dictamen de la Comisión de Cultura en el proyecto de declaración del señor senador,
h07,1998-09-09_r44,1998-09-09_r44_ORDINARIA.html,,Sr. PRESIDENTE (Losada),Sr. PRESIDENTE (Losada),yes,Por Secretaría se dará lectura al inciso e).,
h08,1998-09-23_r48,1998-09-23_r48_ORDINARIA.html,,Sr. AVELÍN,Sr. AVELÍN,yes,Es una falta de respeto que no haya quórum cuando los señores senadores se,
h09,1998-09-23_r48,1998-09-23_r48_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Primero tiene que pedir la reconsideración; de lo contrario no puede hablar del proyecto...,
h10,1998-11-18_r58,1998-11-18_r58_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,"Bueno. Brevemente, por favor.",
h11,1999-06-02_r21,1999-06-02_r21_ESPECIAL.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,"Muchas gracias, senador Avelín.",
h12,1999-06-23_r29,1999-06-23_r29_ORDINARIA.html,,Sr. PRESIDENTE,,not asked,Tiene la palabra el señor senador por La Pampa.,"the sitting prints these words more than once and the sheet, which carried no page and no occurrence number, could not say which"
h13,1999-06-23_r29,1999-06-23_r29_ORDINARIA.html,,Sr. PRESIDENTE (Menem),,not asked,Tiene la palabra el señor senador por La Pampa.,"the sitting prints these words more than once and the sheet, which carried no page and no occurrence number, could not say which"
h14,1999-06-23_r29,1999-06-23_r29_ORDINARIA.html,,Sr. PRESIDENTE (Menem),,not asked,Tiene la palabra el señor senador por La Pampa.,"the sitting prints these words more than once and the sheet, which carried no page and no occurrence number, could not say which"
h15,1999-06-23_r29,1999-06-23_r29_ORDINARIA.html,,Sr. PRESIDENTE (Menem),,not asked,Tiene la palabra el señor senador por La Pampa.,"the sitting prints these words more than once and the sheet, which carried no page and no occurrence number, could not say which"
h16,1999-07-14_r35,1999-07-14_r35_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),,not asked,Tiene la palabra el señor senador por La Rioja.,"the sitting prints these words more than once and the sheet, which carried no page and no occurrence number, could not say which"
h17,1999-07-14_r35,1999-07-14_r35_ORDINARIA.html,,Sr. PRESIDENTE (Menem),,not asked,Tiene la palabra el señor senador por La Rioja.,"the sitting prints these words more than once and the sheet, which carried no page and no occurrence number, could not say which"
h18,1999-07-14_r35,1999-07-14_r35_ORDINARIA.html,,Sr. AVELÍN,Sr. AVELÍN,yes,No pensaba fundamentarlo... Pero si el señor presidente quiere...,
h19,1999-09-01_r44,1999-09-01_r44_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,"Ruego a los presidentes de bloque que hagan lo posible para asegurar el quórum,",
h20,1999-12-22_r69,1999-12-22_r69_EXTRAORDINARIA.html,,Sr. ALASINO,Sr. ALASINO,yes,"No, no son necesarios.",
h21,2000-07-12_r37,2000-07-12_r37_ORDINARIA.html,,Sr. Oudín,Sr. Oudín,yes,"Señor presidente: en primer lugar, quiero dejar sentado que la intervención federal, aunque fuera",
