pdf,section_number,status,before,after
2000-02-23_r01_PREPARATORIA.pdf,1,completed,1,1 Manifestaciones en minoría
2000-02-23_r01_PREPARATORIA.pdf,2,recovered,,2 Izamiento de la bandera nacional
2000-02-23_r01_PREPARATORIA.pdf,3,recovered,,3 Días y hora de sesión
2000-02-23_r01_PREPARATORIA.pdf,4,recovered,,4 Designación y juramento de autoridades
2000-03-01_r00_ASAMBLEA.pdf,1,recovered,,1 Izamiento de la bandera nacional
2000-03-01_r00_ASAMBLEA.pdf,2,completed,2,2 Mensaje y decreto de apertura
2000-03-01_r00_ASAMBLEA.pdf,3,completed,3,3 Comisiones de recepción
2000-03-01_r00_ASAMBLEA.pdf,4,completed,4,4 Mensaje del señor presidente de la Nación
2001-07-18_r45_ORDINARIA.pdf,2,completed,2,2 Izamiento de la bandera nacional
2001-07-18_r45_ORDINARIA.pdf,3,completed,3,3 Homenaje al teniente general Juan D. Perón
2001-07-18_r45_ORDINARIA.pdf,4,completed,4,4 Homenaje a don Hipólito Yrigoyen
2001-07-18_r45_ORDINARIA.pdf,6,recovered,,6 Asuntos Entrados
2001-07-18_r45_ORDINARIA.pdf,9,recovered,,9 Plan de Labor
2001-07-18_r45_ORDINARIA.pdf,10,recovered,,"10 Juez Nacional de Primera Instancia en lo Comercial N° 16, de la Capital Federal"
2001-07-18_r45_ORDINARIA.pdf,11,recovered,,"11 Juez federal de Primera Instancia de Junín, Buenos Aires"
2001-07-18_r45_ORDINARIA.pdf,12,recovered,,12 Directora del Banco Central de la República Argentina
2001-07-18_r45_ORDINARIA.pdf,13,recovered,,13 Cierre de la firma Gatic S.A.
2001-07-18_r45_ORDINARIA.pdf,14,recovered,,14 Contrataciones en el Estado Mayor General del Ejército
2001-07-18_r45_ORDINARIA.pdf,15,recovered,,15 Hospital “Baldomero Sommer”
2001-07-18_r45_ORDINARIA.pdf,16,recovered,,16 Estados contables en la Superintendencia de Administradoras de Fondos de Jubilaciones y Pensiones
2001-07-18_r45_ORDINARIA.pdf,17,recovered,,17 Seguimiento de recomendaciones efectuadas a la Secretaría de Recursos Naturales y Desarrollo Sustentable - Dirección Nacional de Ordenamiento Ambiental
2001-07-18_r45_ORDINARIA.pdf,18,recovered,,18 Estados financieros del Programa de Modernización Portuaria
