session,seq,type,speaker,pdf,pages,as_recorded,as_the_page_reads
2003-06-25_r13,12,furniture,,2003-06-25_r13_ESPECIAL.pdf,2 3,D E C R E T A,DECRETA
2004-02-24_r43,9,furniture,,2004-02-24_r43_EXTRAORDINARIA.pdf,3,D E C R E T A,DECRETA
2004-04-28_r08,461,heading,,2004-04-28_r08_ORDINARIA.pdf,40,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-04-28_r08,481,heading,,2004-04-28_r08_ORDINARIA.pdf,41,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-06-02_r12,613,heading,,2004-06-02_r12_ORDINARIA.pdf,96,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-06-02_r12,630,heading,,2004-06-02_r12_ORDINARIA.pdf,97,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-06-02_r12,638,heading,,2004-06-02_r12_ORDINARIA.pdf,98,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-06-02_r12,647,heading,,2004-06-02_r12_ORDINARIA.pdf,99,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-06-02_r12,655,heading,,2004-06-02_r12_ORDINARIA.pdf,100,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-06-02_r12,664,heading,,2004-06-02_r12_ORDINARIA.pdf,101,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-06-09_r13,195,heading,,2004-06-09_r13_ORDINARIA.pdf,36,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-06-09_r13,204,heading,,2004-06-09_r13_ORDINARIA.pdf,37,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-06-09_r13,212,heading,,2004-06-09_r13_ORDINARIA.pdf,38,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-06-09_r13,221,heading,,2004-06-09_r13_ORDINARIA.pdf,39,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-07-07_r16,1290,heading,,2004-07-07_r16_ORDINARIA.pdf,183,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-07-07_r16,1300,heading,,2004-07-07_r16_ORDINARIA.pdf,184,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-08-25_r21,1039,heading,,2004-08-25_r21_ORDINARIA.pdf,95,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-08-25_r21,1050,heading,,2004-08-25_r21_ORDINARIA.pdf,96,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-08-25_r21,1197,heading,,2004-08-25_r21_ORDINARIA.pdf,115,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-08-25_r21,1208,heading,,2004-08-25_r21_ORDINARIA.pdf,116,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-09-01_r23,461,heading,,2004-09-01_r23_ORDINARIA.pdf,38,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-09-01_r23,470,heading,,2004-09-01_r23_ORDINARIA.pdf,39,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-12-01_r35,1180,furniture,,2004-12-01_r35_ORDINARIA.pdf,114,V o t a c i ó n N o m i n a l,VotaciónNominal
2004-12-01_r35,1189,furniture,,2004-12-01_r35_ORDINARIA.pdf,115,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-04-20_r09,168,heading,,2005-04-20_r09_ORDINARIA.pdf,30,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-04-20_r09,178,heading,,2005-04-20_r09_ORDINARIA.pdf,31,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-04-20_r09,187,heading,,2005-04-20_r09_ORDINARIA.pdf,32,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-04-20_r09,196,heading,,2005-04-20_r09_ORDINARIA.pdf,33,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-05-11_r13,275,heading,,2005-05-11_r13_ORDINARIA.pdf,32,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-05-11_r13,284,heading,,2005-05-11_r13_ORDINARIA.pdf,33,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-06-01_r15,734,heading,,2005-06-01_r15_ORDINARIA.pdf,79,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-06-01_r15,744,heading,,2005-06-01_r15_ORDINARIA.pdf,80,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-08-10_r23,59,heading,,2005-08-10_r23_TRIBUNAL_DE_JUICIO_POLITICO.pdf,15,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-08-10_r23,76,heading,,2005-08-10_r23_TRIBUNAL_DE_JUICIO_POLITICO.pdf,16,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-08-10_r23,84,heading,,2005-08-10_r23_TRIBUNAL_DE_JUICIO_POLITICO.pdf,17,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-08-10_r23,96,heading,,2005-08-10_r23_TRIBUNAL_DE_JUICIO_POLITICO.pdf,18,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-08-25_r26,43,heading,,2005-08-25_r26_TRIBUNAL_DE_JUICIO_POLITICO.pdf,5,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-08-25_r26,52,heading,,2005-08-25_r26_TRIBUNAL_DE_JUICIO_POLITICO.pdf,6,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-11-30_r40,897,heading,,2005-11-30_r40_ORDINARIA.pdf,79,V o t a c i ó n N o m i n a l,VotaciónNominal
2005-11-30_r40,908,heading,,2005-11-30_r40_ORDINARIA.pdf,80,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-03-08_r02,178,heading,,2006-03-08_r02_ORDINARIA.pdf,47,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-03-08_r02,186,heading,,2006-03-08_r02_ORDINARIA.pdf,48,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-03-08_r02,194,heading,,2006-03-08_r02_ORDINARIA.pdf,49,V o t a c i ó n N o m i n a l,VotaciónNominal
2006-03-08_r02,202,heading,,2006-03-08_r02_ORDINARIA.pdf,50,V o t a c i ó n N o m i n a l,VotaciónNominal
