session,seq,type,speaker,pages,change,before,after
2004-04-28_r08,461,heading,,40,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-04-28_r08,481,heading,,41,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-06-02_r12,613,heading,,96,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-06-02_r12,630,heading,,97,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-06-02_r12,638,heading,,98,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-06-02_r12,647,heading,,99,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-06-02_r12,655,heading,,100,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-06-02_r12,664,heading,,101,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-06-09_r13,195,heading,,36,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-06-09_r13,204,heading,,37,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-06-09_r13,212,heading,,38,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-06-09_r13,221,heading,,39,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-06-23_r14,160,speech,Sr. Morales,25 26 27 28 29 30 31,"same text, different spacing","... a convertirse en verdaderos oráculos del sistema de convivencia que los ha llevado al poder. Esto que ha hecho Bielsa el otro día en la reunión de Acuerdos me hace recordar algo que leímos sobre Berlusconi porque, a veces, los extremos se juntan.  En una asamblea de la Unión Europea Berlusconi i","... a convertirse en verdaderos oráculos del sistema de convivencia que los ha llevado al poder. Esto que ha hecho Bielsa el otro día en la reunión de Acuerdos me hace recordar algo que leímos sobre Berlusconi porque, a veces, los extremos se juntan.  En una asamblea de la Unión Europea Berlusconi i"
2004-07-07_r16,1290,heading,,183,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-07-07_r16,1300,heading,,184,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-08-25_r21,1039,heading,,95,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-08-25_r21,1050,heading,,96,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-08-25_r21,1197,heading,,115,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-08-25_r21,1208,heading,,116,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-09-01_r23,461,heading,,38,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-09-01_r23,470,heading,,39,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-12-01_r35,1180,furniture,,114,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2004-12-01_r35,1189,furniture,,115,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-04-20_r09,168,heading,,30,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-04-20_r09,178,heading,,31,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-04-20_r09,187,heading,,32,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-04-20_r09,196,heading,,33,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-05-11_r13,275,heading,,32,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-05-11_r13,284,heading,,33,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-06-01_r15,734,heading,,79,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-06-01_r15,744,heading,,80,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-08-10_r23,59,heading,,15,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-08-10_r23,76,heading,,16,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-08-10_r23,84,heading,,17,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-08-10_r23,96,heading,,18,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-08-25_r26,43,heading,,5,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-08-25_r26,52,heading,,6,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-11-30_r40,897,heading,,79,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2005-11-30_r40,908,heading,,80,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-03-08_r02,178,heading,,47,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-03-08_r02,186,heading,,48,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-03-08_r02,194,heading,,49,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-03-08_r02,202,heading,,50,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-03-22_r04,190,heading,,27,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-03-22_r04,206,heading,,28,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-07-06_r15,138,speech,Sra. Fernández de Kirchner,90 91 92 93 94 95 96,"same text, different spacing","Sí, sí, además estuvo lo del tercer senador, lo de la Auditoría General de la Nación... Era como que el radicalismo —o Alfonsín— pensaba que nunca más iba a ser gobierno, entonces negociaban una parte del poder con la inclusión del  tercer senador, con la creación de organismos; en fin... lo que tod","Sí, sí, además estuvo lo del tercer senador, lo de la Auditoría General de la Nación... Era como que el radicalismo —o Alfonsín— pensaba que nunca más iba a ser gobierno, entonces negociaban una parte del poder con la inclusión del  tercer senador, con la creación de organismos; en fin... lo que tod"
2006-07-12_r16,204,heading,,108,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-07-12_r16,224,heading,,109,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-07-12_r16,232,heading,,110,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-07-12_r16,240,heading,,111,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-10-11_r25,280,heading,,65,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-10-11_r25,303,heading,,66,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-10-11_r25,311,heading,,67,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-10-11_r25,319,heading,,68,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-11-08_r27,90,speech,Sr. Pichetto,39 40 41 42 43 44 45,"same text, different spacing", Aprovecha de paso la oportunidad: inaugura viviendas y entrega llaves; pero la realidad es que hacía mucho tiempo que en la Argentina no había un plan de viviendas como el que puso en marcha el gobierno nacional. Se puso en marcha un plan energético nacional. Hace seis meses nos auguraban el peor d, Aprovecha de paso la oportunidad: inaugura viviendas y entrega llaves; pero la realidad es que hacía mucho tiempo que en la Argentina no había un plan de viviendas como el que puso en marcha el gobierno nacional. Se puso en marcha un plan energético nacional. Hace seis meses nos auguraban el peor d
2006-11-29_r29,589,heading,,141,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2006-11-29_r29,600,heading,,142,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-03-28_r03,311,heading,,46,"same text, different spacing",D e c r e t o PEN TEMA ,Decreto PEN TEMA 
2007-04-11_r04,177,heading,,37,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-04-11_r04,187,heading,,38,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-04-11_r04,196,heading,,39,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-04-11_r04,205,heading,,40,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-05-02_r06,165,heading,,19,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-05-02_r06,184,heading,,20,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-06_r08,273,heading,,55,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-06_r08,282,heading,,56,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-06_r08,290,heading,,57,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-06_r08,299,heading,,58,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-27_r09,192,heading,,28,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-27_r09,201,heading,,29,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-27_r09,209,heading,,30,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
2007-06-27_r09,218,heading,,31,"same text, different spacing",V o t a c i ó n N o m i n a l ,Votación Nominal 
