pdf,page,chars_off_page,chars_on_page,page_width,page_height,leftmost_x,rightmost_x,what_it_says
02-06-2021_ESPECIAL.pdf,67,1,151,595.3,841.9,647.8,647.8, 
04-02-2021_EXTRAORDINARIA.pdf,63,1,194,595.4,841.9,654.7,654.7, 
04-06-2020_ESPECIAL.pdf,25,1112,4720,595.3,841.9,595.3,4299.3,                                                                                                                                                                                                        
04-12-2020_ESPECIAL.pdf,130,9,4751,595.3,841.9,595.6,618.4,         
05-11-2020_ESPECIAL.pdf,82,1,123,595.3,841.9,655.2,655.2, 
05-11-2020_ESPECIAL.pdf,84,1,140,595.3,841.9,654.5,654.5, 
06-10-2021_ESPECIAL.pdf,83,1,153,595.3,841.9,654.4,654.4, 
07-04-2022_ESPECIAL.pdf,86,1,153,612.0,792.0,684.1,684.1, 
08-04-2021_ESPECIAL.pdf,126,1,151,595.3,841.9,639.2,639.2, 
08-04-2021_ESPECIAL.pdf,128,1,168,595.3,841.9,654.5,654.5, 
08-09-2022_ESPECIAL.pdf,25,1,121,595.3,841.9,640.8,640.8, 
08-10-2020_ESPECIAL.pdf,102,1,140,595.3,841.9,654.5,654.5, 
11-05-2023_INFORMATIVA_ESPECIAL.pdf,4,47,2613,595.3,841.9,596.6,750.3,                                               
12-03-2020_ESPECIAL.pdf,1,1,558,595.4,841.9,202.4,202.4, 
12-09-2024_ORDINARIA.pdf,1,7,152,595.3,841.9,765.5,793.9,Pág. 1 
12-09-2024_ORDINARIA.pdf,2,7,593,595.3,841.9,765.5,793.9,Pág. 2 
12-09-2024_ORDINARIA.pdf,3,7,1830,595.3,841.9,765.5,793.9,Pág. 3 
12-09-2024_ORDINARIA.pdf,4,7,2388,595.4,841.7,752.4,780.9,Pág. 4 
12-09-2024_ORDINARIA.pdf,5,7,2432,595.4,841.7,752.4,780.9,Pág. 5 
12-09-2024_ORDINARIA.pdf,6,7,3594,595.4,841.7,752.4,780.9,Pág. 6 
12-09-2024_ORDINARIA.pdf,7,7,3219,595.4,841.7,752.4,780.9,Pág. 7 
12-09-2024_ORDINARIA.pdf,8,7,3464,595.4,841.7,752.4,780.9,Pág. 8 
12-09-2024_ORDINARIA.pdf,9,7,3314,595.4,841.7,752.4,780.9,Pág. 9 
12-09-2024_ORDINARIA.pdf,10,8,3636,595.4,841.7,746.9,780.9,Pág. 10 
12-09-2024_ORDINARIA.pdf,11,8,3118,595.4,841.7,746.9,780.9,Pág. 11 
12-09-2024_ORDINARIA.pdf,12,8,3808,595.4,841.7,746.9,780.9,Pág. 12 
12-09-2024_ORDINARIA.pdf,13,8,3665,595.4,841.7,746.9,780.9,Pág. 13 
12-09-2024_ORDINARIA.pdf,14,8,3360,595.4,841.7,746.9,780.9,Pág. 14 
12-09-2024_ORDINARIA.pdf,15,8,3457,595.4,841.7,746.9,780.9,Pág. 15 
12-09-2024_ORDINARIA.pdf,16,8,3465,595.4,841.7,746.9,780.9,Pág. 16 
12-09-2024_ORDINARIA.pdf,17,8,3547,595.4,841.7,746.9,780.9,Pág. 17 
12-09-2024_ORDINARIA.pdf,18,8,3400,595.4,841.7,746.9,780.9,Pág. 18 
12-09-2024_ORDINARIA.pdf,19,8,3248,595.4,841.7,746.9,780.9,Pág. 19 
12-09-2024_ORDINARIA.pdf,20,8,3449,595.4,841.7,746.9,780.9,Pág. 20 
12-09-2024_ORDINARIA.pdf,21,8,3727,595.4,841.7,746.9,780.9,Pág. 21 
12-09-2024_ORDINARIA.pdf,22,8,3585,595.4,841.7,746.9,780.9,Pág. 22 
12-09-2024_ORDINARIA.pdf,23,8,3727,595.4,841.7,746.9,780.9,Pág. 23 
12-09-2024_ORDINARIA.pdf,24,8,3356,595.4,841.7,746.9,780.9,Pág. 24 
12-09-2024_ORDINARIA.pdf,25,8,3595,595.4,841.7,746.9,780.9,Pág. 25 
12-09-2024_ORDINARIA.pdf,26,8,2744,595.4,841.7,746.9,780.9,Pág. 26 
12-09-2024_ORDINARIA.pdf,27,8,3133,595.4,841.7,746.9,780.9,Pág. 27 
12-09-2024_ORDINARIA.pdf,28,8,3071,595.4,841.7,746.9,780.9,Pág. 28 
12-09-2024_ORDINARIA.pdf,29,8,3401,595.4,841.7,746.9,780.9,Pág. 29 
12-09-2024_ORDINARIA.pdf,30,8,3132,595.4,841.7,746.9,780.9,Pág. 30 
12-09-2024_ORDINARIA.pdf,31,8,3221,595.4,841.7,746.9,780.9,Pág. 31 
12-09-2024_ORDINARIA.pdf,32,8,3261,595.4,841.7,746.9,780.9,Pág. 32 
12-09-2024_ORDINARIA.pdf,33,8,3165,595.4,841.7,746.9,780.9,Pág. 33 
12-09-2024_ORDINARIA.pdf,34,8,3029,595.4,841.7,746.9,780.9,Pág. 34 
12-09-2024_ORDINARIA.pdf,35,8,2640,595.4,841.7,746.9,780.9,Pág. 35 
12-09-2024_ORDINARIA.pdf,36,8,3244,595.4,841.7,746.9,780.9,Pág. 36 
12-09-2024_ORDINARIA.pdf,37,8,3907,595.4,841.7,746.9,780.9,Pág. 37 
12-09-2024_ORDINARIA.pdf,38,8,3844,595.4,841.7,746.9,780.9,Pág. 38 
12-09-2024_ORDINARIA.pdf,39,8,3720,595.4,841.7,746.9,780.9,Pág. 39 
12-09-2024_ORDINARIA.pdf,40,8,3763,595.4,841.7,746.9,780.9,Pág. 40 
12-09-2024_ORDINARIA.pdf,41,8,3608,595.4,841.7,746.9,780.9,Pág. 41 
12-09-2024_ORDINARIA.pdf,42,8,3967,595.4,841.7,746.9,780.9,Pág. 42 
12-09-2024_ORDINARIA.pdf,43,8,3401,595.4,841.7,746.9,780.9,Pág. 43 
12-09-2024_ORDINARIA.pdf,44,8,3749,595.4,841.7,746.9,780.9,Pág. 44 
12-09-2024_ORDINARIA.pdf,45,8,3653,595.4,841.7,746.9,780.9,Pág. 45 
12-09-2024_ORDINARIA.pdf,46,8,4097,595.4,841.7,746.9,780.9,Pág. 46 
12-09-2024_ORDINARIA.pdf,47,8,3962,595.4,841.7,746.9,780.9,Pág. 47 
12-09-2024_ORDINARIA.pdf,48,8,3877,595.4,841.7,746.9,780.9,Pág. 48 
12-09-2024_ORDINARIA.pdf,49,8,3833,595.4,841.7,746.9,780.9,Pág. 49 
12-09-2024_ORDINARIA.pdf,50,8,3516,595.4,841.7,746.9,780.9,Pág. 50 
12-09-2024_ORDINARIA.pdf,51,8,3818,595.4,841.7,746.9,780.9,Pág. 51 
12-09-2024_ORDINARIA.pdf,52,8,3975,595.4,841.7,746.9,780.9,Pág. 52 
12-09-2024_ORDINARIA.pdf,53,8,3766,595.4,841.7,746.9,780.9,Pág. 53 
12-09-2024_ORDINARIA.pdf,54,8,3681,595.4,841.7,746.9,780.9,Pág. 54 
12-09-2024_ORDINARIA.pdf,55,8,3557,595.4,841.7,746.9,780.9,Pág. 55 
12-09-2024_ORDINARIA.pdf,56,8,3581,595.4,841.7,746.9,780.9,Pág. 56 
12-09-2024_ORDINARIA.pdf,57,8,3323,595.4,841.7,746.9,780.9,Pág. 57 
12-09-2024_ORDINARIA.pdf,58,8,3469,595.4,841.7,746.9,780.9,Pág. 58 
12-09-2024_ORDINARIA.pdf,59,8,3536,595.4,841.7,746.9,780.9,Pág. 59 
12-09-2024_ORDINARIA.pdf,60,8,3789,595.4,841.7,746.9,780.9,Pág. 60 
12-09-2024_ORDINARIA.pdf,61,8,3858,595.4,841.7,746.9,780.9,Pág. 61 
12-09-2024_ORDINARIA.pdf,62,8,3667,595.4,841.7,746.9,780.9,Pág. 62 
12-09-2024_ORDINARIA.pdf,63,8,3777,595.4,841.7,746.9,780.9,Pág. 63 
12-09-2024_ORDINARIA.pdf,64,8,3764,595.4,841.7,746.9,780.9,Pág. 64 
12-09-2024_ORDINARIA.pdf,65,8,3732,595.4,841.7,746.9,780.9,Pág. 65 
12-09-2024_ORDINARIA.pdf,66,8,3617,595.4,841.7,746.9,780.9,Pág. 66 
12-09-2024_ORDINARIA.pdf,67,8,3518,595.4,841.7,746.9,780.9,Pág. 67 
12-09-2024_ORDINARIA.pdf,68,8,3835,595.4,841.7,746.9,780.9,Pág. 68 
12-09-2024_ORDINARIA.pdf,69,8,3669,595.4,841.7,746.9,780.9,Pág. 69 
12-09-2024_ORDINARIA.pdf,70,8,3736,595.4,841.7,746.9,780.9,Pág. 70 
12-09-2024_ORDINARIA.pdf,71,8,3735,595.4,841.7,746.9,780.9,Pág. 71 
12-09-2024_ORDINARIA.pdf,72,8,3731,595.4,841.7,746.9,780.9,Pág. 72 
12-09-2024_ORDINARIA.pdf,73,8,3886,595.4,841.7,746.9,780.9,Pág. 73 
12-09-2024_ORDINARIA.pdf,74,8,3663,595.4,841.7,746.9,780.9,Pág. 74 
12-09-2024_ORDINARIA.pdf,75,8,3878,595.4,841.7,746.9,780.9,Pág. 75 
12-09-2024_ORDINARIA.pdf,76,8,2838,595.4,841.7,746.9,780.9,Pág. 76 
12-09-2024_ORDINARIA.pdf,77,8,3447,595.4,841.7,746.9,780.9,Pág. 77 
12-09-2024_ORDINARIA.pdf,78,8,3604,595.4,841.7,746.9,780.9,Pág. 78 
12-09-2024_ORDINARIA.pdf,79,8,3274,595.4,841.7,746.9,780.9,Pág. 79 
12-09-2024_ORDINARIA.pdf,80,8,3312,595.4,841.7,746.9,780.9,Pág. 80 
12-09-2024_ORDINARIA.pdf,81,8,3456,595.4,841.7,746.9,780.9,Pág. 81 
12-09-2024_ORDINARIA.pdf,82,8,3329,595.4,841.7,746.9,780.9,Pág. 82 
12-09-2024_ORDINARIA.pdf,83,8,3250,595.4,841.7,746.9,780.9,Pág. 83 
12-09-2024_ORDINARIA.pdf,84,8,3393,595.4,841.7,746.9,780.9,Pág. 84 
12-09-2024_ORDINARIA.pdf,85,8,3208,595.4,841.7,746.9,780.9,Pág. 85 
12-09-2024_ORDINARIA.pdf,86,8,3042,595.4,841.7,746.9,780.9,Pág. 86 
12-09-2024_ORDINARIA.pdf,87,8,3429,595.4,841.7,746.9,780.9,Pág. 87 
12-09-2024_ORDINARIA.pdf,88,8,3122,595.4,841.7,746.9,780.9,Pág. 88 
12-09-2024_ORDINARIA.pdf,89,8,2749,595.4,841.7,746.9,780.9,Pág. 89 
12-09-2024_ORDINARIA.pdf,90,8,3249,595.4,841.7,746.9,780.9,Pág. 90 
12-09-2024_ORDINARIA.pdf,91,8,3666,595.4,841.7,746.9,780.9,Pág. 91 
12-09-2024_ORDINARIA.pdf,92,8,3779,595.4,841.7,746.9,780.9,Pág. 92 
12-09-2024_ORDINARIA.pdf,93,8,3677,595.4,841.7,746.9,780.9,Pág. 93 
12-09-2024_ORDINARIA.pdf,94,8,3830,595.4,841.7,746.9,780.9,Pág. 94 
12-09-2024_ORDINARIA.pdf,95,8,3943,595.4,841.7,746.9,780.9,Pág. 95 
12-09-2024_ORDINARIA.pdf,96,8,3592,595.4,841.7,746.9,780.9,Pág. 96 
12-09-2024_ORDINARIA.pdf,97,8,3627,595.4,841.7,746.9,780.9,Pág. 97 
12-09-2024_ORDINARIA.pdf,98,8,3911,595.4,841.7,746.9,780.9,Pág. 98 
12-09-2024_ORDINARIA.pdf,99,8,3725,595.4,841.7,746.9,780.9,Pág. 99 
12-09-2024_ORDINARIA.pdf,100,9,3821,595.4,841.7,741.5,780.9,Pág. 100 
12-09-2024_ORDINARIA.pdf,101,9,3695,595.4,841.7,741.5,780.9,Pág. 101 
12-09-2024_ORDINARIA.pdf,102,9,3762,595.4,841.7,741.5,780.9,Pág. 102 
12-09-2024_ORDINARIA.pdf,103,9,3793,595.4,841.7,741.5,780.9,Pág. 103 
12-09-2024_ORDINARIA.pdf,104,9,3596,595.4,841.7,741.5,780.9,Pág. 104 
12-09-2024_ORDINARIA.pdf,105,9,3747,595.4,841.7,741.5,780.9,Pág. 105 
12-09-2024_ORDINARIA.pdf,106,9,3478,595.4,841.7,741.5,780.9,Pág. 106 
12-09-2024_ORDINARIA.pdf,107,9,3547,595.4,841.7,741.5,780.9,Pág. 107 
12-09-2024_ORDINARIA.pdf,108,9,3673,595.4,841.7,741.5,780.9,Pág. 108 
12-09-2024_ORDINARIA.pdf,109,9,3951,595.4,841.7,741.5,780.9,Pág. 109 
12-09-2024_ORDINARIA.pdf,110,9,3785,595.4,841.7,741.5,780.9,Pág. 110 
12-09-2024_ORDINARIA.pdf,111,9,3780,595.4,841.7,741.5,780.9,Pág. 111 
12-09-2024_ORDINARIA.pdf,112,9,3784,595.4,841.7,741.5,780.9,Pág. 112 
12-09-2024_ORDINARIA.pdf,113,9,3834,595.4,841.7,741.5,780.9,Pág. 113 
12-09-2024_ORDINARIA.pdf,114,9,3770,595.4,841.7,741.5,780.9,Pág. 114 
12-09-2024_ORDINARIA.pdf,115,9,3981,595.4,841.7,741.5,780.9,Pág. 115 
12-09-2024_ORDINARIA.pdf,116,9,3632,595.4,841.7,741.5,780.9,Pág. 116 
12-09-2024_ORDINARIA.pdf,117,9,3802,595.4,841.7,741.5,780.9,Pág. 117 
12-09-2024_ORDINARIA.pdf,118,9,3600,595.4,841.7,741.5,780.9,Pág. 118 
12-09-2024_ORDINARIA.pdf,119,9,3484,595.4,841.7,741.5,780.9,Pág. 119 
12-09-2024_ORDINARIA.pdf,120,9,3759,595.4,841.7,741.5,780.9,Pág. 120 
12-09-2024_ORDINARIA.pdf,121,9,3291,595.4,841.7,741.5,780.9,Pág. 121 
12-09-2024_ORDINARIA.pdf,122,9,3535,595.4,841.7,741.5,780.9,Pág. 122 
12-09-2024_ORDINARIA.pdf,123,9,3603,595.4,841.7,741.5,780.9,Pág. 123 
12-09-2024_ORDINARIA.pdf,124,9,3585,595.4,841.7,741.5,780.9,Pág. 124 
12-09-2024_ORDINARIA.pdf,125,9,3760,595.4,841.7,741.5,780.9,Pág. 125 
12-09-2024_ORDINARIA.pdf,126,9,3610,595.4,841.7,741.5,780.9,Pág. 126 
12-09-2024_ORDINARIA.pdf,127,9,3727,595.4,841.7,741.5,780.9,Pág. 127 
12-09-2024_ORDINARIA.pdf,128,9,3706,595.4,841.7,741.5,780.9,Pág. 128 
12-09-2024_ORDINARIA.pdf,129,9,3858,595.4,841.7,741.5,780.9,Pág. 129 
12-09-2024_ORDINARIA.pdf,130,9,3661,595.4,841.7,741.5,780.9,Pág. 130 
12-09-2024_ORDINARIA.pdf,131,9,3721,595.4,841.7,741.5,780.9,Pág. 131 
12-09-2024_ORDINARIA.pdf,132,9,3674,595.4,841.7,741.5,780.9,Pág. 132 
12-09-2024_ORDINARIA.pdf,133,9,3497,595.4,841.7,741.5,780.9,Pág. 133 
