pdf,pages,status,before,after
03-09-2020_ESPECIAL.pdf,152,fixed,caído en la votación del Orden del Día N117/20 (Continuación.) ,caído en la votación del Orden del Día Nº117/20 (Continuación.) 
03-09-2020_ESPECIAL.pdf,152,fixed,"caído en la votación del Orden del Día N117/20, proyecto de resolución del senad","caído en la votación del Orden del Día Nº117/20, proyecto de resolución del senad"
03-09-2020_ESPECIAL.pdf,94,fixed,caído en la votación del Orden del Día N117/20  Sra. Presidenta (Ledesma Abdala),caído en la votación del Orden del Día Nº117/20  Sra. Presidenta (Ledesma Abdala)
2008-08-06_r12_ORDINARIA.pdf,43,fixed,"la Presidencia la señora vicepresidenta  del H. Senado, senadora Liliana T. Negr","la Presidencia la señora vicepresidenta 2º del H. Senado, senadora Liliana T. Negr"
2012-10-25_r18_ESPECIAL.pdf,4,open (size differs),N1.178/12,Nº1.178/12
2012-10-25_r18_ESPECIAL.pdf,47,open (size differs),N925/12,Nº925/12
2012-10-31_r19_ORDINARIA.pdf,10,fixed,ional de Primera Instancia del Trabajo N 72 de la Capital Federal al doctor Raúl,ional de Primera Instancia del Trabajo Nº 72 de la Capital Federal al doctor Raúl
2012-10-31_r19_ORDINARIA.pdf,10,fixed," al doctor Raúl Horacio OJEDA. Mensaje N 1.997/12, solicitando acuerdo para desi"," al doctor Raúl Horacio OJEDA. Mensaje Nº 1.997/12, solicitando acuerdo para desi"
2012-10-31_r19_ORDINARIA.pdf,10,fixed,ional de Primera Instancia del Trabajo N 63 de la Capital Federal a la doctora M,ional de Primera Instancia del Trabajo Nº 63 de la Capital Federal a la doctora M
2012-10-31_r19_ORDINARIA.pdf,10,fixed,"ora María Alejandra D’AGNILLO. Mensaje N 1.998/12, solicitando acuerdo para desi","ora María Alejandra D’AGNILLO. Mensaje Nº 1.998/12, solicitando acuerdo para desi"
2012-10-31_r19_ORDINARIA.pdf,10,fixed,ional de Primera Instancia del Trabajo N 21 de la Capital Federal a la doctora A,ional de Primera Instancia del Trabajo Nº 21 de la Capital Federal a la doctora A
2012-10-31_r19_ORDINARIA.pdf,10,fixed," a la doctora Ana María OTERO. Mensaje N 1.999/12, solicitando acuerdo para desi"," a la doctora Ana María OTERO. Mensaje Nº 1.999/12, solicitando acuerdo para desi"
2012-10-31_r19_ORDINARIA.pdf,10,fixed,ional de Primera Instancia del Trabajo N 36 de la Capital Federal a la doctora Y,ional de Primera Instancia del Trabajo Nº 36 de la Capital Federal a la doctora Y
2012-10-31_r19_ORDINARIA.pdf,10,fixed,"a Yolanda Liliana SCHEIDEGGER. Mensaje N 2.000/12, solicitando acuerdo para desi","a Yolanda Liliana SCHEIDEGGER. Mensaje Nº 2.000/12, solicitando acuerdo para desi"
2012-10-31_r19_ORDINARIA.pdf,10,fixed,ional de Primera Instancia del Trabajo N 64 de la Capital Federal al doctor Elio,ional de Primera Instancia del Trabajo Nº 64 de la Capital Federal al doctor Elio
2012-10-31_r19_ORDINARIA.pdf,11,fixed,"Mensaje N 2.001/12, solicitando acuerdo para desi","Mensaje Nº 2.001/12, solicitando acuerdo para desi"
2012-10-31_r19_ORDINARIA.pdf,11,fixed,ional de Primera Instancia del Trabajo N 69 de la Capital Federal al doctor José,ional de Primera Instancia del Trabajo Nº 69 de la Capital Federal al doctor José
2012-10-31_r19_ORDINARIA.pdf,11,fixed,"l doctor José Ignacio RAMONET. Mensaje N 2.002/12, solicitando acuerdo para desi","l doctor José Ignacio RAMONET. Mensaje Nº 2.002/12, solicitando acuerdo para desi"
2012-10-31_r19_ORDINARIA.pdf,11,fixed,zgado de Primera Instancia del Trabajo N 9 de la Capital Federal a la doctora Li,zgado de Primera Instancia del Trabajo Nº 9 de la Capital Federal a la doctora Li
2012-10-31_r19_ORDINARIA.pdf,11,fixed,"octora Liliana Noemí GONZÁLEZ. Mensaje N 2.003/12, solicitando acuerdo para desi","octora Liliana Noemí GONZÁLEZ. Mensaje Nº 2.003/12, solicitando acuerdo para desi"
2012-10-31_r19_ORDINARIA.pdf,11,fixed,ional de Primera Instancia del Trabajo N 47 de Capital Federal a la doctora Emil,ional de Primera Instancia del Trabajo Nº 47 de Capital Federal a la doctora Emil
2012-10-31_r19_ORDINARIA.pdf,11,fixed," doctora Emilce Leda SELLERIO. Mensaje N 2.004/12, solicitando acuerdo para desi"," doctora Emilce Leda SELLERIO. Mensaje Nº 2.004/12, solicitando acuerdo para desi"
2012-10-31_r19_ORDINARIA.pdf,11,fixed,ional de Primera Instancia del Trabajo N 5 de Capital Federal a la doctora Graci,ional de Primera Instancia del Trabajo Nº 5 de Capital Federal a la doctora Graci
2012-10-31_r19_ORDINARIA.pdf,11,fixed,"tora Graciela Beatriz PEREIRA. Mensaje N 2.005/12, solicitando acuerdo para desi","tora Graciela Beatriz PEREIRA. Mensaje Nº 2.005/12, solicitando acuerdo para desi"
2012-10-31_r19_ORDINARIA.pdf,11,fixed,ional de Primera Instancia del Trabajo N 10 de Capital Federal a la doctora Laur,ional de Primera Instancia del Trabajo Nº 10 de Capital Federal a la doctora Laur
2012-10-31_r19_ORDINARIA.pdf,11,fixed," a la doctora Laura Etel PAPO. Mensaje N 2.006/12, solicitando acuerdo para desi"," a la doctora Laura Etel PAPO. Mensaje Nº 2.006/12, solicitando acuerdo para desi"
2012-10-31_r19_ORDINARIA.pdf,11,fixed,ional de Primera Instancia del Trabajo N 42 de Capital Federal al doctor Ricardo,ional de Primera Instancia del Trabajo Nº 42 de Capital Federal al doctor Ricardo
2012-10-31_r19_ORDINARIA.pdf,116,fixed,"el 24,8 por ciento, cuando el artículo 7 de la Ley de Coparticipación –venimos e","el 24,8 por ciento, cuando el artículo 7º de la Ley de Coparticipación –venimos e"
2012-10-31_r19_ORDINARIA.pdf,12,fixed,bierno la siguiente leyenda: “Año del 30 Aniversario de la Recuperación de la De,bierno la siguiente leyenda: “Año del 30º Aniversario de la Recuperación de la De
2012-10-31_r19_ORDINARIA.pdf,17,fixed,n ciertas porque en ese lapso entre el 1 y el 3 de mayo participé de la III Cumb,n ciertas porque en ese lapso entre el 1º y el 3 de mayo participé de la III Cumb
2012-10-31_r19_ORDINARIA.pdf,183,fixed," es claramente violatorio del artículo 7 de la Ley de Coparticipación Federal, q"," es claramente violatorio del artículo 7º de la Ley de Coparticipación Federal, q"
2012-10-31_r19_ORDINARIA.pdf,187,fixed,"facultades legislativas. Los artículos 5, 6","facultades legislativas. Los artículos 5º, 6"
2012-10-31_r19_ORDINARIA.pdf,187,fixed,", 6, 7",", 6º, 7"
2012-10-31_r19_ORDINARIA.pdf,187,fixed,", 7, 8",", 7º, 8"
2012-10-31_r19_ORDINARIA.pdf,187,fixed,", 8, 16 –por respeto no leo lo que dicen po",", 8º, 16 –por respeto no leo lo que dicen po"
2012-10-31_r19_ORDINARIA.pdf,195,fixed,"ipio que no se cumplía con el artículo 7 de la ley 23.548, que habla del piso de","ipio que no se cumplía con el artículo 7º de la ley 23.548, que habla del piso de"
2012-10-31_r19_ORDINARIA.pdf,195,fixed,"hizo esta evaluación y sacó su Informe N1, donde reconocen que la cosa es como y","hizo esta evaluación y sacó su Informe Nº1, donde reconocen que la cosa es como y"
2012-10-31_r19_ORDINARIA.pdf,2,fixed,(O.D. N 1.232/12.),(O.D. Nº 1.232/12.)
2012-10-31_r19_ORDINARIA.pdf,2,fixed,erjurisdiccional marino Makenke. (O.D. N 961/12.),erjurisdiccional marino Makenke. (O.D. Nº 961/12.)
