session,source_file,find_it_by,page,turn_opens_on_page,which_occurrence,parser_says_speaker,opening_words,printed_just_before,correct? (y/n),if_wrong_who_spoke,my_reading,agree,human_checked_at
1998-07-15_r29,1998-07-15_r29_ORDINARIA.html,searching the text,,,,Sr. AGÚNDEZ,Señor presidente: voy a insistir en la postergación del tratamiento en general de este proyecto de ley. Ese fue el compromiso asumido ayer por el presidente de nuestro bloque con,"de la Unión Cívica Radical, el señor vicepresidente de la Comisión de Transportes, senador Agúndez.",y,,Sr. AGÚNDEZ,True,2026-09-24T15:15:57.360Z
1999-09-01_r44,1999-09-01_r44_ORDINARIA.html,searching the text,,,,Sr. PRESIDENTE (Menem),Es lo que yo proponía.,"la economía ni la interpretación del proyecto de ley, el cual sigue siendo perfectamente coherente.",y,,Sr. PRESIDENTE (Menem),True,2026-09-24T15:16:05.340Z
2000-06-07_r22,2000-06-07_r22_ORDINARIA.html,searching the text,,,29 of 44,Sr. Presidente,Queda aprobada la comunicación. Se procederá en consecuencia.,-- En particular es igualmente afirmativa.,y,,Sr. Presidente,True,2026-09-24T15:16:10.796Z
2001-09-04_r60,2001-09-04_r60_ORDINARIA.html,searching the text,,,,Sr. Presidente (Losada),"Si no se hace uso de la palabra, se va a votar el inciso g) tal como estaba redactado.",-- La votación resulta negativa.,y,,Sr. Presidente (Losada),True,2026-09-24T15:16:30.495Z
2002-05-08_r08,2002-05-08_r08_ORDINARIA.html,searching the text,,,35 of 74,Sr. Presidente (Maqueda),"En consideración en general. Si no se hace uso de la palabra, se va a votar.",Orden del Día Nº 101,y,,Sr. Presidente (Maqueda),True,2026-09-24T15:16:33.170Z
2003-06-11_r11,2003-06-11_r11_ORDINARIA.html,searching the text,,,,Sr. Presidente (López Arias),"La Presidencia anunció que iba a someter a votación los pedidos de abstención efectuados. Pero primero queremos saber, exactamente, quiénes desean abstenerse y quiénes no. Si no me equivoco, permanecen",sabrá si existe el quórum respectivo. Pero primero hay que someter a votación las abstenciones...,y,,Sr. Presidente (López Arias),True,2026-09-24T15:17:55.928Z
2004-07-07_r16,2004-07-07_r16_ORDINARIA.pdf,page 146,146.0,146.0,,Sr. Morales,"Señor presidente: continuando con las expresiones vertidas por el señor miembro informante de nuestro bloque, el senador Sanz, por Mendoza, ratificamos nuestro rechazo a este proyecto de ley, al que",Tiene la palabra el señor senador Morales.,y,,Sr. Morales,True,2026-09-24T15:18:05.469Z
2005-05-04_r11,2005-05-04_r11_ORDINARIA.pdf,page 70,70.0,70.0,40 of 71,Sr. Presidente,Queda aprobada la comunicación. Se procederá en consecuencia.,— En particular es igualmente afirmativa.,y,,Sr. Presidente,True,2026-09-24T15:18:11.638Z
2006-04-26_r07,2006-04-26_r07_ORDINARIA.pdf,page 7,7.0,7.0,,Sr. Secretario (Estrada),El pedido obedece a que la doctora Azar fue designada en otro cargo.,Corresponde que el cuerpo se expida sobre este pedido.,y,,Sr. Secretario (Estrada),True,2026-09-24T15:18:17.532Z
2007-05-23_r07,2007-05-23_r07_ORDINARIA.pdf,page 21,21.0,21.0,3 of 3,Sr. Presidente,Tiene la palabra el señor senador Pichetto.,Pido la palabra.,y,,Sr. Presidente,True,2026-09-24T15:18:23.041Z
