session,seq,type,pages,change,before,after
2003-06-25_r13,12,furniture,2 3,"same text, different spacing",D E C R E T A,DECRETA
2004-02-24_r43,9,furniture,3,"same text, different spacing",D E C R E T A,DECRETA
2005-12-14_r41,,heading,26,"found, already cut as a repeating page header",V o t a c i ó n N o m i n a l,Votación Nominal
2005-12-14_r41,,heading,27,"found, already cut as a repeating page header",V o t a c i ó n N o m i n a l,Votación Nominal
2005-12-14_r41,,heading,28,"found, already cut as a repeating page header",V o t a c i ó n N o m i n a l,Votación Nominal
2005-12-14_r41,,heading,29,"found, already cut as a repeating page header",V o t a c i ó n N o m i n a l,Votación Nominal
2005-12-14_r41,,heading,30,"found, already cut as a repeating page header",V o t a c i ó n N o m i n a l,Votación Nominal
2005-12-14_r41,,heading,31,"found, already cut as a repeating page header",V o t a c i ó n N o m i n a l,Votación Nominal
13-12-2023_ESPECIAL,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
01-03-2024_ASAMBLEA,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
23-02-2024_PREPARATORIA,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
14-03-2024_ESPECIAL,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
18-04-2024_ORDINARIA,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
15-05-2024_INFORMATIVA_ESPECIAL,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
12-06-2024_ESPECIAL,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
04-07-2024_ESPECIAL,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
22-08-2024_ESPECIAL,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
22-08-2024_ORDINARIA,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
12-09-2024_ORDINARIA,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
26-09-2024_ORDINARIA,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
12-12-2024_ESPECIAL,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
27-11-2024_INFORMATIVA_ESPECIAL,,heading,2,"found, already cut as front matter",A U T O R I D A D E S,AUTORIDADES
